instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_seconds_min,sankhya_seconds_max,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,highs_seconds_min,highs_seconds_max,timing_repeats,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
adlittle,225494.96316,optimal,225494.9631623803,1.0555827253868593e-11,0.001482,0.00134,0.001705,73,optimal,225494.9631623803,1.0555827253868593e-11,0.001368,0.001307,0.001863,15,1,1.083,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
afiro,-464.75314286,optimal,-464.75314285714285,6.147731649617561e-12,0.000422,0.000407,0.000647,13,optimal,-464.75314285714285,6.147731649617561e-12,0.000451,0.000421,0.000891,15,1,0.935,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
agg,-35991767.287,optimal,-35991767.2865765,1.1766536728601052e-11,0.008181,0.007581,0.018849,147,optimal,-35991767.2865765,1.1766536728601052e-11,0.006661,0.006058,0.007766,15,1,1.228,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
bandm,-158.62801845,optimal,-158.62801845012086,7.61839614961652e-13,0.020394,0.01767,0.030899,452,optimal,-158.62801845012078,7.613020987704749e-13,0.01126,0.010642,0.012082,15,1,1.811,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
beaconfd,33592.485807,optimal,33592.485807200006,5.953974350258128e-12,0.011062,0.004735,0.064235,115,optimal,33592.4858072,5.953757755462018e-12,0.005244,0.004064,0.00642,15,1,2.109,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
blend,-30.812149846,optimal,-30.812149845828223,5.574984541560087e-12,0.003012,0.002696,0.004296,97,optimal,-30.812149845828237,5.5745233321090675e-12,0.002251,0.002115,0.002689,15,1,1.338,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
boeing1,-335.21356751,optimal,-335.213567507127,8.570765619133575e-12,0.024346,0.019887,0.035677,357,optimal,-335.21356750712675,8.571443914099772e-12,0.02012,0.015167,0.030405,15,1,1.21,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
boeing2,-315.01872802,optimal,-315.01872801520284,1.5228258580282265e-11,0.004259,0.003879,0.005755,133,optimal,-315.0187280152027,1.5228619469421892e-11,0.003006,0.002909,0.004515,15,1,1.417,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
bore3d,1373.0803942,optimal,1373.080394208493,6.185427258816399e-12,0.00558,0.005123,0.006447,161,optimal,1373.0803942084926,6.185096071106774e-12,0.002468,0.002264,0.005011,15,1,2.261,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
brandy,1518.5098965,optimal,1518.509896488128,7.818099666838409e-12,0.012017,0.009692,0.014847,282,optimal,1518.5098964881279,7.818249401572418e-12,0.007139,0.005782,0.009512,15,1,1.683,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
