instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
adlittle,225494.96316,optimal,225494.96316238042,1.055634351959886e-11,0.003857,158,optimal,225494.9631623803,1.0555827253868593e-11,0.012662,1,0.305,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
afiro,-464.75314286,optimal,-464.75314285714285,6.147731649617561e-12,0.000808,16,optimal,-464.75314285714285,6.147731649617561e-12,0.002825,1,0.286,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
agg,-35991767.287,optimal,-35991767.28657649,1.1766950744425143e-11,0.034211,141,optimal,-35991767.2865765,1.1766536728601052e-11,0.013531,1,2.528,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
bandm,-158.62801845,optimal,-158.62801845012072,7.609437546430236e-13,0.049344,574,optimal,-158.62801845012078,7.613020987704749e-13,0.018033,1,2.736,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
beaconfd,33592.485807,optimal,33592.4858072,5.953757755462018e-12,0.004573,96,optimal,33592.4858072,5.953757755462018e-12,0.00608,1,0.752,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
blend,-30.812149846,optimal,-30.812149845828237,5.5745233321090675e-12,0.009381,337,optimal,-30.812149845828237,5.5745233321090675e-12,0.004545,1,2.064,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
boeing1,-335.21356751,optimal,-335.21356750712687,8.571104766616673e-12,0.029006,760,optimal,-335.21356750712675,8.571443914099772e-12,0.028384,1,1.022,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
boeing2,-315.01872802,optimal,-315.0187280152028,1.522843902485208e-11,0.005031,208,optimal,-315.0187280152027,1.5228619469421892e-11,0.006764,1,0.744,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
bore3d,1373.0803942,optimal,1373.0803942085097,6.197515610217722e-12,0.007897,167,optimal,1373.0803942084926,6.185096071106774e-12,0.005476,1,1.442,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
brandy,1518.5098965,optimal,1518.509896488128,7.818099666838409e-12,0.015444,323,optimal,1518.5098964881279,7.818249401572418e-12,0.013203,1,1.17,a90db47,Windows-AMD64,2026-08-26T19:59:07+00:00
