instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_seconds_min,sankhya_seconds_max,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,highs_seconds_min,highs_seconds_max,timing_repeats,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
adlittle,225494.96316,optimal,225494.9631623803,1.0555827253868593e-11,0.003383,0.002123,0.004172,73,optimal,225494.9631623803,1.0555827253868593e-11,0.00158,0.00146,0.002467,15,1,2.142,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
afiro,-464.75314286,optimal,-464.75314285714285,6.147731649617561e-12,0.00051,0.000451,0.001011,13,optimal,-464.75314285714285,6.147731649617561e-12,0.000504,0.000465,0.000766,15,1,1.012,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
agg,-35991767.287,optimal,-35991767.2865765,1.1766536728601052e-11,0.01399,0.008572,0.023512,147,optimal,-35991767.2865765,1.1766536728601052e-11,0.004618,0.003853,0.007934,15,1,3.029,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
bandm,-158.62801845,optimal,-158.62801845012086,7.61839614961652e-13,0.038292,0.020834,0.063531,452,optimal,-158.62801845012078,7.613020987704749e-13,0.039887,0.03528,0.051869,15,1,0.96,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
beaconfd,33592.485807,optimal,33592.485807200006,5.953974350258128e-12,0.010962,0.006289,0.015308,115,optimal,33592.4858072,5.953757755462018e-12,0.010431,0.006568,0.016579,15,1,1.051,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
blend,-30.812149846,optimal,-30.812149845828223,5.574984541560087e-12,0.004066,0.002116,0.00585,97,optimal,-30.812149845828237,5.5745233321090675e-12,0.006351,0.005888,0.008036,15,1,0.64,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
boeing1,-335.21356751,optimal,-335.213567507127,8.570765619133575e-12,0.030178,0.015455,0.039112,357,optimal,-335.21356750712675,8.571443914099772e-12,0.042567,0.037407,0.079985,15,1,0.709,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
boeing2,-315.01872802,optimal,-315.01872801520284,1.5228258580282265e-11,0.005766,0.003692,0.0119,133,optimal,-315.0187280152027,1.5228619469421892e-11,0.010175,0.007522,0.013191,15,1,0.567,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
bore3d,1373.0803942,optimal,1373.080394208493,6.185427258816399e-12,0.009373,0.004957,0.013524,161,optimal,1373.0803942084926,6.185096071106774e-12,0.008504,0.007498,0.010368,15,1,1.102,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
brandy,1518.5098965,optimal,1518.509896488128,7.818099666838409e-12,0.01825,0.009661,0.028868,282,optimal,1518.5098964881279,7.818249401572418e-12,0.020042,0.019088,0.021734,15,1,0.911,adcee1b,Windows-AMD64,2026-09-06T17:35:00+00:00
