instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_seconds_min,sankhya_seconds_max,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,highs_seconds_min,highs_seconds_max,timing_repeats,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
adlittle,225494.96316,optimal,225494.9631623803,1.0555827253868593e-11,0.002031,0.001864,0.003055,73,optimal,225494.9631623803,1.0555827253868593e-11,0.001813,0.001776,0.002027,15,1,1.12,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
afiro,-464.75314286,optimal,-464.75314285714285,6.147731649617561e-12,0.000542,0.000523,0.00084,13,optimal,-464.75314285714285,6.147731649617561e-12,0.000587,0.000535,0.000943,15,1,0.924,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
agg,-35991767.287,optimal,-35991767.2865765,1.1766536728601052e-11,0.011148,0.010333,0.02646,147,optimal,-35991767.2865765,1.1766536728601052e-11,0.004618,0.004467,0.006101,15,1,2.414,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
bandm,-158.62801845,optimal,-158.62801845012086,7.61839614961652e-13,0.025909,0.022546,0.118889,452,optimal,-158.62801845012078,7.613020987704749e-13,0.012595,0.011293,0.014017,15,1,2.057,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
beaconfd,33592.485807,optimal,33592.485807200006,5.953974350258128e-12,0.005472,0.004922,0.008002,115,optimal,33592.4858072,5.953757755462018e-12,0.003345,0.003225,0.004588,15,1,1.636,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
blend,-30.812149846,optimal,-30.812149845828223,5.574984541560087e-12,0.002514,0.002342,0.003776,97,optimal,-30.812149845828237,5.5745233321090675e-12,0.001887,0.001822,0.002244,15,1,1.333,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
boeing1,-335.21356751,optimal,-335.213567507127,8.570765619133575e-12,0.020194,0.018269,0.025573,357,optimal,-335.21356750712675,8.571443914099772e-12,0.019625,0.014683,0.022377,15,1,1.029,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
boeing2,-315.01872802,optimal,-315.01872801520284,1.5228258580282265e-11,0.004832,0.004239,0.012918,133,optimal,-315.0187280152027,1.5228619469421892e-11,0.003576,0.0034,0.004338,15,1,1.351,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
bore3d,1373.0803942,optimal,1373.080394208493,6.185427258816399e-12,0.006232,0.005743,0.009213,161,optimal,1373.0803942084926,6.185096071106774e-12,0.002894,0.002678,0.004567,15,1,2.153,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
brandy,1518.5098965,optimal,1518.509896488128,7.818099666838409e-12,0.012671,0.011658,0.015751,282,optimal,1518.5098964881279,7.818249401572418e-12,0.006707,0.006398,0.007882,15,1,1.889,f7ca7e9,Windows-AMD64,2026-09-13T11:09:58+00:00
