instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_seconds_min,sankhya_seconds_max,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,highs_seconds_min,highs_seconds_max,timing_repeats,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
adlittle,225494.96316,optimal,225494.9631623803,1.0555827253868593e-11,0.002411,0.00228,0.005853,73,optimal,225494.9631623803,1.0555827253868593e-11,0.002092,0.00196,0.00315,15,1,1.153,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
afiro,-464.75314286,optimal,-464.75314285714285,6.147731649617561e-12,0.000649,0.0006,0.000878,13,optimal,-464.75314285714285,6.147731649617561e-12,0.000636,0.000595,0.001105,15,1,1.022,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
agg,-35991767.287,optimal,-35991767.2865765,1.1766536728601052e-11,0.014374,0.012121,0.018701,147,optimal,-35991767.2865765,1.1766536728601052e-11,0.005708,0.005076,0.008062,15,1,2.519,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
bandm,-158.62801845,optimal,-158.62801845012086,7.61839614961652e-13,0.030065,0.026649,0.039574,452,optimal,-158.62801845012078,7.613020987704749e-13,0.013936,0.013206,0.016533,15,1,2.157,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
beaconfd,33592.485807,optimal,33592.485807200006,5.953974350258128e-12,0.006316,0.005655,0.009387,115,optimal,33592.4858072,5.953757755462018e-12,0.003812,0.003587,0.006338,15,1,1.657,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
blend,-30.812149846,optimal,-30.812149845828223,5.574984541560087e-12,0.002896,0.002833,0.004012,97,optimal,-30.812149845828237,5.5745233321090675e-12,0.002089,0.002016,0.002246,15,1,1.386,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
boeing1,-335.21356751,optimal,-335.213567507127,8.570765619133575e-12,0.0234,0.020795,0.030587,357,optimal,-335.21356750712675,8.571443914099772e-12,0.015464,0.014882,0.016989,15,1,1.513,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
boeing2,-315.01872802,optimal,-315.01872801520284,1.5228258580282265e-11,0.005075,0.004556,0.007896,133,optimal,-315.0187280152027,1.5228619469421892e-11,0.003629,0.003385,0.004989,15,1,1.398,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
bore3d,1373.0803942,optimal,1373.080394208493,6.185427258816399e-12,0.006726,0.006254,0.009428,161,optimal,1373.0803942084926,6.185096071106774e-12,0.003835,0.003127,0.005605,15,1,1.754,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
brandy,1518.5098965,optimal,1518.509896488128,7.818099666838409e-12,0.014452,0.013084,0.017382,282,optimal,1518.5098964881279,7.818249401572418e-12,0.007415,0.006709,0.010273,15,1,1.949,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
capri,2690.0129138,optimal,2690.0129137681615,1.1835884081310426e-11,0.014075,0.010201,0.015615,236,optimal,2690.0129137681593,1.18367293325517e-11,0.00533,0.004847,0.006267,15,1,2.641,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
d6cube,315.49166667,optimal,315.4916666666668,1.0565047344488266e-11,0.548202,0.520825,0.612377,1013,optimal,315.49166666666696,1.056450682226661e-11,0.19503,0.175637,0.207849,15,1,2.811,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
degen2,-1435.178,optimal,-1435.178,0.0,0.064847,0.05804,0.069177,639,optimal,-1435.178,0.0,0.020297,0.018017,0.026452,15,1,3.195,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
e226,-18.751929066,optimal,-11.63892906637053,0.3793209741032128,0.030646,0.02517,0.035955,507,optimal,-11.638929066370537,0.3793209741032124,0.010803,0.009745,0.014406,15,1,2.837,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
etamacro,-755.71521774,optimal,-755.7152331221231,2.035439114736623e-08,0.045373,0.039065,0.053425,705,optimal,-755.7152333005275,2.0590464776887975e-08,0.015434,0.013236,0.017114,15,1,2.94,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
finnis,172790.96547,optimal,172791.06559561164,5.794609189835839e-07,0.022702,0.020101,0.03072,403,optimal,172791.06559561164,5.794609189835839e-07,0.007857,0.00659,0.010085,15,1,2.889,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
fit1d,-9146.3780924,optimal,-9146.378092420928,2.2880612277754342e-12,0.015125,0.014106,0.017649,56,optimal,-9146.378092420928,2.2880612277754342e-12,0.015717,0.014427,0.023542,15,1,0.962,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
fit2d,-68464.293294,optimal,-68464.2932938321,2.4523731981559937e-12,0.343093,0.312818,0.568978,224,optimal,-68464.2932938321,2.4523731981559937e-12,0.229521,0.212961,0.268411,15,1,1.495,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
forplan,-664.21873953,optimal,-664.2189612722057,3.3383912929692586e-07,0.019986,0.018434,0.025223,309,optimal,-664.2189612722054,3.338391289546084e-07,0.008869,0.007379,0.011994,15,1,2.253,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
grow15,-106870941.29,optimal,-106870941.29357535,3.345474335878028e-11,0.356999,0.327962,0.380239,3630,optimal,-106870941.29357533,3.3454603927415554e-11,0.058748,0.052545,0.068217,15,1,6.077,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
grow22,-160834336.48,optimal,-160834336.48256296,1.5935464895819175e-11,0.513785,0.487824,0.728536,3853,optimal,-160834336.48256296,1.5935464895819175e-11,0.118926,0.107766,0.144085,15,1,4.32,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
grow7,-47787811.815,optimal,-47787811.8147115,6.036977219428426e-12,0.122828,0.108159,0.142491,1932,optimal,-47787811.8147115,6.036977219428426e-12,0.016269,0.015053,0.020471,15,1,7.55,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
israel,-896644.82186,optimal,-896644.821863046,3.3971164739267804e-12,0.012811,0.010832,0.013611,176,optimal,-896644.8218630459,3.396986639549791e-12,0.005679,0.004658,0.008243,15,1,2.256,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
kb2,-1749.9001299,optimal,-1749.9001299062058,3.5464521611883195e-12,0.001644,0.001528,0.002368,51,optimal,-1749.9001299062056,3.546322225958555e-12,0.001003,0.000972,0.001521,15,1,1.638,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
lotfi,-25.264706062,optimal,-25.264706061880016,4.74900622496902e-12,0.010374,0.008629,0.012171,243,optimal,-25.264706061880002,4.749568703498567e-12,0.003513,0.003305,0.0044,15,1,2.953,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
pilot4,-2581.1392641,optimal,-2581.139258883888,2.0208565489991203e-09,0.146416,0.129796,0.154962,1060,optimal,-2581.1392588838853,2.0208576060843163e-09,0.043547,0.036836,0.048986,15,1,3.362,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
recipe,-266.616,optimal,-266.61600000000027,1.0660166468030429e-15,0.001533,0.001376,0.002441,41,optimal,-266.61600000000027,1.0660166468030429e-15,0.001674,0.001559,0.002418,15,1,0.916,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
sc105,-52.202061212,optimal,-52.20206121170722,5.608574210909634e-12,0.002683,0.002596,0.003766,88,optimal,-52.20206121170723,5.608301983062969e-12,0.001456,0.001389,0.001653,15,1,1.844,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
sc205,-52.202061212,optimal,-52.2020612117072,5.608846438756298e-12,0.007101,0.006654,0.010672,209,optimal,-52.20206121170721,5.608710324832966e-12,0.002712,0.002568,0.003571,15,1,2.618,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
sc50a,-64.575077059,optimal,-64.57507705856447,6.744398679677553e-12,0.001242,0.001172,0.001753,42,optimal,-64.5750770585645,6.743958545329677e-12,0.000801,0.000743,0.001291,15,1,1.551,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
