instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_seconds_min,sankhya_seconds_max,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,highs_seconds_min,highs_seconds_max,timing_repeats,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
adlittle,225494.96316,optimal,225494.9631623803,1.0555827253868593e-11,0.002688,0.002012,0.004939,73,optimal,225494.9631623803,1.0555827253868593e-11,0.002105,0.001908,0.002947,15,1,1.277,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
afiro,-464.75314286,optimal,-464.75314285714285,6.147731649617561e-12,0.000679,0.000586,0.001246,13,optimal,-464.75314285714285,6.147731649617561e-12,0.000982,0.000616,0.00111,15,1,0.691,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
agg,-35991767.287,optimal,-35991767.2865765,1.1766536728601052e-11,0.013335,0.011401,0.019798,147,optimal,-35991767.2865765,1.1766536728601052e-11,0.00572,0.004593,0.008346,15,1,2.331,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
bandm,-158.62801845,optimal,-158.62801845012086,7.61839614961652e-13,0.023443,0.021369,0.029427,452,optimal,-158.62801845012078,7.613020987704749e-13,0.01272,0.011278,0.017123,15,1,1.843,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
beaconfd,33592.485807,optimal,33592.485807200006,5.953974350258128e-12,0.005542,0.005199,0.008192,115,optimal,33592.4858072,5.953757755462018e-12,0.003426,0.0033,0.004893,15,1,1.618,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
blend,-30.812149846,optimal,-30.812149845828223,5.574984541560087e-12,0.00255,0.002413,0.004224,97,optimal,-30.812149845828237,5.5745233321090675e-12,0.002056,0.001978,0.003175,15,1,1.24,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
boeing1,-335.21356751,optimal,-335.213567507127,8.570765619133575e-12,0.019257,0.01797,0.024146,357,optimal,-335.21356750712675,8.571443914099772e-12,0.014779,0.0131,0.020248,15,1,1.303,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
boeing2,-315.01872802,optimal,-315.01872801520284,1.5228258580282265e-11,0.004583,0.003806,0.00601,133,optimal,-315.0187280152027,1.5228619469421892e-11,0.00343,0.003204,0.003599,15,1,1.336,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
bore3d,1373.0803942,optimal,1373.080394208493,6.185427258816399e-12,0.006426,0.005845,0.009211,161,optimal,1373.0803942084926,6.185096071106774e-12,0.002943,0.002792,0.004278,15,1,2.183,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
brandy,1518.5098965,optimal,1518.509896488128,7.818099666838409e-12,0.012784,0.011552,0.017815,282,optimal,1518.5098964881279,7.818249401572418e-12,0.00672,0.006448,0.007377,15,1,1.902,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
capri,2690.0129138,optimal,2690.0129137681615,1.1835884081310426e-11,0.009908,0.00919,0.012447,236,optimal,2690.0129137681593,1.18367293325517e-11,0.004983,0.004665,0.005428,15,1,1.988,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
d6cube,315.49166667,optimal,315.4916666666668,1.0565047344488266e-11,0.498575,0.470723,0.524707,1013,optimal,315.49166666666696,1.056450682226661e-11,0.160118,0.147193,0.182804,15,1,3.114,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
degen2,-1435.178,optimal,-1435.178,0.0,0.053514,0.049218,0.059239,639,optimal,-1435.178,0.0,0.017676,0.016741,0.020547,15,1,3.027,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
e226,-18.751929066,optimal,-11.63892906637053,0.3793209741032128,0.02393,0.022577,0.033371,507,optimal,-11.638929066370537,0.3793209741032124,0.009847,0.008963,0.016167,15,1,2.43,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
etamacro,-755.71521774,optimal,-755.7152331221231,2.035439114736623e-08,0.039902,0.036528,0.049375,705,optimal,-755.7152333005275,2.0590464776887975e-08,0.012373,0.011637,0.014908,15,1,3.225,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
finnis,172790.96547,optimal,172791.06559561164,5.794609189835839e-07,0.021353,0.018545,0.025305,403,optimal,172791.06559561164,5.794609189835839e-07,0.006748,0.00653,0.010195,15,1,3.164,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
fit1d,-9146.3780924,optimal,-9146.378092420928,2.2880612277754342e-12,0.013767,0.012799,0.015422,56,optimal,-9146.378092420928,2.2880612277754342e-12,0.015487,0.013485,0.02057,15,1,0.889,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
fit2d,-68464.293294,optimal,-68464.2932938321,2.4523731981559937e-12,0.293235,0.269597,0.320808,224,optimal,-68464.2932938321,2.4523731981559937e-12,0.202565,0.192066,0.217079,15,1,1.448,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
