instance,our_objective,highs_objective,published_objective,relative_ours_vs_highs,relative_highs_vs_published,verdict,highs_status,git_commit,machine,timestamp_utc
80bau3b,987224.1924,987224.1924090902,987232.16072,9.207811213937059e-12,8.071364798326691e-06,reference appears stale,HighsModelStatus.kOptimal,adcee1b,Windows-AMD64,2026-09-06T17:44:26.511755+00:00
dfl001,11108869.56,11266396.04667138,11266400.0,0.013981976669275666,3.50895460896331e-07,WE DIFFER FROM HIGHS,HighsModelStatus.kOptimal,adcee1b,Windows-AMD64,2026-09-06T17:46:37.997410+00:00
e226,-11.63892907,-11.638929066370537,-18.751929066,3.1183822254665854e-10,0.3793209741032124,reference appears stale,HighsModelStatus.kOptimal,adcee1b,Windows-AMD64,2026-09-06T17:46:38.147629+00:00
fit2p,68464.29329,68464.29329383216,68464.293232,5.5973112107538153e-11,9.031301095526024e-10,all three agree,HighsModelStatus.kOptimal,adcee1b,Windows-AMD64,2026-09-06T17:48:32.024620+00:00
ganges,-109585.7361,-109585.73612927813,-109586.36356,2.6717102363394915e-10,5.725445224090448e-06,reference appears stale,HighsModelStatus.kOptimal,adcee1b,Windows-AMD64,2026-09-06T17:48:32.269520+00:00
greenbea,-72555248.13,-72555248.12984587,-72462405.908,2.124211744850575e-12,0.0012812467469509629,reference appears stale,HighsModelStatus.kOptimal,adcee1b,Windows-AMD64,2026-09-06T17:48:44.300984+00:00
greenbeb,-4302260.261,-4302260.261206586,-4302147.6065,4.801800936219223e-11,2.6185690703858075e-05,reference appears stale,HighsModelStatus.kOptimal,adcee1b,Windows-AMD64,2026-09-06T17:48:50.608780+00:00
maros-r7,0.0,1497185.1664796423,1497185.1665,1.0,1.3597369660100587e-11,WE DIFFER FROM HIGHS,HighsModelStatus.kOptimal,adcee1b,Windows-AMD64,2026-09-06T17:49:00.363670+00:00
nesm,14076036.49,14076036.487562705,14076073.035,1.7315210814558425e-10,2.596422823641427e-06,reference appears stale,HighsModelStatus.kOptimal,adcee1b,Windows-AMD64,2026-09-06T17:49:01.126848+00:00
pilot,-557.4895608,-557.4897292744025,-557.40430007,3.0220180502832126e-07,0.00015326254998717417,reference appears stale,HighsModelStatus.kOptimal,adcee1b,Windows-AMD64,2026-09-06T17:49:20.918120+00:00
pilot87,303.2511625,301.71034733310745,301.71072827,0.005106935113469652,1.2625898148824655e-06,WE DIFFER FROM HIGHS,HighsModelStatus.kOptimal,adcee1b,Windows-AMD64,2026-09-06T17:50:35.409236+00:00
scrs8,904.2969538,904.296953800792,904.29998619,8.758806441594862e-13,3.3533000711012235e-06,reference appears stale,HighsModelStatus.kOptimal,adcee1b,Windows-AMD64,2026-09-06T17:50:35.533410+00:00
