instance,our_objective,highs_objective,published_objective,relative_ours_vs_highs,relative_highs_vs_published,verdict,highs_status,git_commit,machine,timestamp_utc
80bau3b,987224.1924,987224.1924090902,987232.16072,9.207811213937059e-12,8.071364798326691e-06,reference appears stale,HighsModelStatus.kOptimal,ae57be2,Windows-AMD64,2026-09-02T03:31:57.086784+00:00
e226,-11.63892907,-11.638929066370537,-18.751929066,3.1183822254665854e-10,0.3793209741032124,reference appears stale,HighsModelStatus.kOptimal,ae57be2,Windows-AMD64,2026-09-02T03:31:57.154558+00:00
etamacro,-755.7152332,-755.7152333005275,-755.71521774,1.330231042403268e-10,2.0590464776887975e-08,all three agree,HighsModelStatus.kOptimal,ae57be2,Windows-AMD64,2026-09-02T03:31:57.225112+00:00
ganges,-109585.7361,-109585.73612927813,-109586.36356,2.6717102363394915e-10,5.725445224090448e-06,reference appears stale,HighsModelStatus.kOptimal,ae57be2,Windows-AMD64,2026-09-02T03:31:57.385219+00:00
greenbea,-72555248.13,-72555248.12984587,-72462405.908,2.124211744850575e-12,0.0012812467469509629,reference appears stale,HighsModelStatus.kOptimal,ae57be2,Windows-AMD64,2026-09-02T03:31:59.626847+00:00
greenbeb,-4302260.261,-4302260.261206586,-4302147.6065,4.801800936219223e-11,2.6185690703858075e-05,reference appears stale,HighsModelStatus.kOptimal,ae57be2,Windows-AMD64,2026-09-02T03:32:01.936072+00:00
grow15,-106870941.3,-106870941.29357533,-106870941.29,6.011611176326404e-11,3.3454603927415554e-11,all three agree,HighsModelStatus.kOptimal,ae57be2,Windows-AMD64,2026-09-02T03:32:02.070766+00:00
grow7,-47787811.81,-47787811.8147115,-47787811.815,9.859211211852333e-11,6.036977219428426e-12,all three agree,HighsModelStatus.kOptimal,ae57be2,Windows-AMD64,2026-09-02T03:32:02.131834+00:00
nesm,14076036.49,14076036.487562705,14076073.035,1.7315210814558425e-10,2.596422823641427e-06,reference appears stale,HighsModelStatus.kOptimal,ae57be2,Windows-AMD64,2026-09-02T03:32:02.635332+00:00
pilot,-557.4897292,-557.4897292744025,-557.40430007,1.3345979437251233e-10,0.00015326254998717417,reference appears stale,HighsModelStatus.kOptimal,ae57be2,Windows-AMD64,2026-09-02T03:32:25.247213+00:00
pilotnov,-4497.276188,-4497.2761882188715,-4497.2761882,4.8667617867103243e-11,4.196118890051869e-12,all three agree,HighsModelStatus.kOptimal,ae57be2,Windows-AMD64,2026-09-02T03:32:27.443333+00:00
scrs8,904.2969538,904.296953800792,904.29998619,8.758806441594862e-13,3.3533000711012235e-06,reference appears stale,HighsModelStatus.kOptimal,ae57be2,Windows-AMD64,2026-09-02T03:32:27.606563+00:00
