instance,sha256,mode,run,fingerprint,status,algorithm,objective,iterations,nodes,solve_seconds,commit,machine
25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,default,1,c9befda2581f4024,optimal,simplex-dual,5501.845888286749,4107,0,1.213202,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,default,2,c9befda2581f4024,optimal,simplex-dual,5501.845888286749,4107,0,1.1479414,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,default,3,c9befda2581f4024,optimal,simplex-dual,5501.845888286749,4107,0,1.1931105,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,deterministic,1,c9befda2581f4024,optimal,simplex-dual,5501.845888286749,4107,0,1.2125433,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,deterministic,2,c9befda2581f4024,optimal,simplex-dual,5501.845888286749,4107,0,1.227604,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,deterministic,3,c9befda2581f4024,optimal,simplex-dual,5501.845888286749,4107,0,1.2216816,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
bandm.mps,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,default,1,e7e392cd650a1772,optimal,simplex-dual,-158.62801845012086,484,0,0.0340025,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
bandm.mps,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,default,2,e7e392cd650a1772,optimal,simplex-dual,-158.62801845012086,484,0,0.0477069,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
bandm.mps,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,default,3,e7e392cd650a1772,optimal,simplex-dual,-158.62801845012086,484,0,0.0512931,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
bandm.mps,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,deterministic,1,e7e392cd650a1772,optimal,simplex-dual,-158.62801845012086,484,0,0.0501459,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
bandm.mps,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,deterministic,2,e7e392cd650a1772,optimal,simplex-dual,-158.62801845012086,484,0,0.0433201,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
bandm.mps,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,deterministic,3,e7e392cd650a1772,optimal,simplex-dual,-158.62801845012086,484,0,0.0500629,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
agg2.mps,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,default,1,993c20c4de9f5940,optimal,simplex-dual,-20239252.355977118,159,0,0.0246897,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
agg2.mps,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,default,2,993c20c4de9f5940,optimal,simplex-dual,-20239252.355977118,159,0,0.0145427,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
agg2.mps,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,default,3,993c20c4de9f5940,optimal,simplex-dual,-20239252.355977118,159,0,0.024919,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
agg2.mps,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,deterministic,1,993c20c4de9f5940,optimal,simplex-dual,-20239252.355977118,159,0,0.0245627,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
agg2.mps,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,deterministic,2,993c20c4de9f5940,optimal,simplex-dual,-20239252.355977118,159,0,0.0164061,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
agg2.mps,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,deterministic,3,993c20c4de9f5940,optimal,simplex-dual,-20239252.355977118,159,0,0.0196033,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
power_dispatch.mps,9298c482aea186e1a78653ea72f937ac0653d0f61489767f9e9da9723f49d026,default,1,aa949d96b3cc537b,optimal,branch-and-bound,3270.0,0,3,0.0022825,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
power_dispatch.mps,9298c482aea186e1a78653ea72f937ac0653d0f61489767f9e9da9723f49d026,default,2,aa949d96b3cc537b,optimal,branch-and-bound,3270.0,0,3,0.0017847,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
power_dispatch.mps,9298c482aea186e1a78653ea72f937ac0653d0f61489767f9e9da9723f49d026,default,3,aa949d96b3cc537b,optimal,branch-and-bound,3270.0,0,3,0.0018137,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
power_dispatch.mps,9298c482aea186e1a78653ea72f937ac0653d0f61489767f9e9da9723f49d026,deterministic,1,aa949d96b3cc537b,optimal,branch-and-bound,3270.0,0,3,0.0019226,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
power_dispatch.mps,9298c482aea186e1a78653ea72f937ac0653d0f61489767f9e9da9723f49d026,deterministic,2,aa949d96b3cc537b,optimal,branch-and-bound,3270.0,0,3,0.002885,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
power_dispatch.mps,9298c482aea186e1a78653ea72f937ac0653d0f61489767f9e9da9723f49d026,deterministic,3,aa949d96b3cc537b,optimal,branch-and-bound,3270.0,0,3,0.0022608,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
lot_sizing.mps,2d754695b13a433b7bde4b53ae06c9479ed12eaa247b6382ec8aad0d4d61cbda,default,1,80f4ef2c97d0ac69,optimal,branch-and-bound,770.0,0,13,0.005649,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
lot_sizing.mps,2d754695b13a433b7bde4b53ae06c9479ed12eaa247b6382ec8aad0d4d61cbda,default,2,80f4ef2c97d0ac69,optimal,branch-and-bound,770.0,0,13,0.0080137,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
lot_sizing.mps,2d754695b13a433b7bde4b53ae06c9479ed12eaa247b6382ec8aad0d4d61cbda,default,3,80f4ef2c97d0ac69,optimal,branch-and-bound,770.0,0,13,0.0080949,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
lot_sizing.mps,2d754695b13a433b7bde4b53ae06c9479ed12eaa247b6382ec8aad0d4d61cbda,deterministic,1,80f4ef2c97d0ac69,optimal,branch-and-bound,770.0,0,13,0.0111592,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
lot_sizing.mps,2d754695b13a433b7bde4b53ae06c9479ed12eaa247b6382ec8aad0d4d61cbda,deterministic,2,80f4ef2c97d0ac69,optimal,branch-and-bound,770.0,0,13,0.0068599,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
lot_sizing.mps,2d754695b13a433b7bde4b53ae06c9479ed12eaa247b6382ec8aad0d4d61cbda,deterministic,3,80f4ef2c97d0ac69,optimal,branch-and-bound,770.0,0,13,0.0065078,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
supply_chain.mps,58de98d7967f0e7c2f37f653c0746bd29ede892beda2ab59e5f5df6819325b9a,default,1,c49460b451a88f8d,optimal,simplex-dual,4500.0,7,0,0.0007184,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
supply_chain.mps,58de98d7967f0e7c2f37f653c0746bd29ede892beda2ab59e5f5df6819325b9a,default,2,c49460b451a88f8d,optimal,simplex-dual,4500.0,7,0,0.0010705,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
supply_chain.mps,58de98d7967f0e7c2f37f653c0746bd29ede892beda2ab59e5f5df6819325b9a,default,3,c49460b451a88f8d,optimal,simplex-dual,4500.0,7,0,0.0010982,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
supply_chain.mps,58de98d7967f0e7c2f37f653c0746bd29ede892beda2ab59e5f5df6819325b9a,deterministic,1,c49460b451a88f8d,optimal,simplex-dual,4500.0,7,0,0.0010613,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
supply_chain.mps,58de98d7967f0e7c2f37f653c0746bd29ede892beda2ab59e5f5df6819325b9a,deterministic,2,c49460b451a88f8d,optimal,simplex-dual,4500.0,7,0,0.0009286,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
supply_chain.mps,58de98d7967f0e7c2f37f653c0746bd29ede892beda2ab59e5f5df6819325b9a,deterministic,3,c49460b451a88f8d,optimal,simplex-dual,4500.0,7,0,0.001113,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
ill_conditioned.mps,a7f16782beb55a45952a45b6805107e9be739c451407da68c2e32b4a6210f730,default,1,dd22bb5c0e0eefbd,optimal,simplex-dual,4500.0,7,0,0.0009636,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
ill_conditioned.mps,a7f16782beb55a45952a45b6805107e9be739c451407da68c2e32b4a6210f730,default,2,dd22bb5c0e0eefbd,optimal,simplex-dual,4500.0,7,0,0.0009454,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
ill_conditioned.mps,a7f16782beb55a45952a45b6805107e9be739c451407da68c2e32b4a6210f730,default,3,dd22bb5c0e0eefbd,optimal,simplex-dual,4500.0,7,0,0.0010484,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
ill_conditioned.mps,a7f16782beb55a45952a45b6805107e9be739c451407da68c2e32b4a6210f730,deterministic,1,dd22bb5c0e0eefbd,optimal,simplex-dual,4500.0,7,0,0.0010971,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
ill_conditioned.mps,a7f16782beb55a45952a45b6805107e9be739c451407da68c2e32b4a6210f730,deterministic,2,dd22bb5c0e0eefbd,optimal,simplex-dual,4500.0,7,0,0.0013982,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
ill_conditioned.mps,a7f16782beb55a45952a45b6805107e9be739c451407da68c2e32b4a6210f730,deterministic,3,dd22bb5c0e0eefbd,optimal,simplex-dual,4500.0,7,0,0.0012898,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
