instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 13168 nodes",-1.5000000000000009,-1.50000000000001,-1.7333333333333336,0.23333333333333273,0.15555555555555506,1,0,1,13168,13,-1.8181818181818183,-1.7333333333333336,0.2667,60.463772,60.0029196,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,time_limit,"stopped at the time limit of 59.9999s after 60.04s, 0 iterations, 22762 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 2.367e-01",18721.23673943185,25508.0,1.0,18720.23673943185,0.9999465847254688,0,0,,22762,0,1.0,1.0,0.0000,60.159755,60.0399346,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,time_limit,"stopped at the time limit of 59.9999s after 60.01s, 0 iterations, 22945 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",18.000000000000004,27.0,16.0,2.0000000000000036,0.11111111111111129,0,0,,22945,14,1.0000000000000004,1.5,0.0294,60.101191,60.0137709,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,time_limit,"stopped at the time limit of 59.9998s after 60.01s, 0 iterations, 13384 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",32.0,37.0,20.600000000000005,11.399999999999995,0.35624999999999984,0,0,,13384,281,15.500000000000002,17.400000000000002,0.1152,60.071808,60.0068757,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,,20772.0,20771.99999999983,20772.0,0.0,0.0,1,1,1,1,40,20650.89815396325,20772.0,1.0000,0.727646,0.4658847,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,optimal,,1201500.0,1201500.0,1201499.9999999995,4.656612873077393e-10,3.8756661448833897e-16,1,1,1,725,1,1167185.7255923203,1167875.1663773148,0.0201,1.310344,1.0954031,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,"stopped at the time limit of 59.9997s after 60.01s, 0 iterations, 8111 nodes",-9428.30835712,-9476.155197,-9502.879019678043,74.57066255804239,0.007909230344776395,0,0,1,8111,0,-9505.628172760296,-9505.628172760296,0.0000,60.160340,60.0135585,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 15465 nodes",6889.02046035,6840.96564179,6778.826863244243,110.19359710575645,0.01599553924102557,0,0,1,15465,1,6765.209042727767,6766.160533329095,0.0077,60.112364,60.0003332,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.35,202.3499999999979,202.35,0.0,0.0,1,1,1,44,4,185.55,189.95000000000002,0.2619,0.567276,0.497375,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,215,13,13460.233074411899,20539.942955771974,0.9188,1.577261,1.5100235,afe165d-dirty,Windows-AMD64,2026-09-18T11:32:26+00:00,enable_root_cuts=true
