instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,stopped at the time limit after 60.00s and 71480 nodes,-1.5000000000000004,-1.50000000000001,-1.8181818181818183,0.3181818181818179,0.21212121212121188,1,0,1,71480,60.293512,60.0012065,53cbe16,Windows-AMD64,2026-09-09T03:12:35+00:00,
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,stopped at the time limit after 60.00s and 65307 nodes,51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,65307,60.059273,60.0008052,53cbe16,Windows-AMD64,2026-09-09T03:12:35+00:00,
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,node_limit,stopped at the time limit after 60.00s and 122275 nodes,inf,27.0,20.0,inf,inf,0,0,,122275,60.057332,60.0016184,53cbe16,Windows-AMD64,2026-09-09T03:12:35+00:00,
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,node_limit,stopped at the time limit after 60.00s and 102964 nodes,inf,37.0,23.0,inf,inf,0,0,,102964,60.045241,60.0012144,53cbe16,Windows-AMD64,2026-09-09T03:12:35+00:00,
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,feasible,"stopped on a relative gap target (1.086e+00 absolute, 5.229e-05 relative) after 543 nodes",20772.0,20771.99999999983,20770.91373869135,1.086261308650137,5.229449781677917e-05,1,0,1,543,3.916102,3.8910692,53cbe16,Windows-AMD64,2026-09-09T03:12:35+00:00,
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,feasible,"stopped on a relative gap target (2.250e+01 absolute, 1.873e-05 relative) after 545 nodes",1201500.0,1201500.0,1201477.5,22.5,1.8726591760299626e-05,1,0,1,545,0.076243,0.0484793,53cbe16,Windows-AMD64,2026-09-09T03:12:35+00:00,
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,stopped at the time limit after 60.00s and 76469 nodes,-9431.21240856,-9476.155197,-9500.829640865684,69.6172323056835,0.007381578241467362,0,0,1,76469,60.041935,60.0006783,53cbe16,Windows-AMD64,2026-09-09T03:12:35+00:00,
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,stopped at the time limit after 60.00s and 90620 nodes,6859.8671468699995,6840.96564179,6786.103903917899,73.76324295210088,0.010752867566211886,0,0,1,90620,60.046337,60.0009889,53cbe16,Windows-AMD64,2026-09-09T03:12:35+00:00,
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.34999999999997,202.3499999999979,202.34999999999997,0.0,0.0,1,1,1,71,0.069259,0.0438622,53cbe16,Windows-AMD64,2026-09-09T03:12:35+00:00,
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,478,0.246131,0.2249782,53cbe16,Windows-AMD64,2026-09-09T03:12:35+00:00,
