instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,stopped at the time limit after 60.00s and 96310 nodes,-1.5000000000000004,-1.50000000000001,-1.8181818181818186,0.3181818181818181,0.21212121212121202,1,0,1,96310,60.534765,60.0004689,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,stopped at the time limit after 60.00s and 139820 nodes,41014.0,25508.0,2.0,41012.0,0.9999512361632613,0,0,1,139820,60.070532,60.001248,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,node_limit,stopped at the time limit after 60.00s and 52287 nodes,inf,27.0,24.000000000000004,inf,inf,0,0,,52287,60.035199,60.0023065,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,node_limit,stopped at the time limit after 60.00s and 15363 nodes,inf,37.0,19.0,inf,inf,0,0,,15363,60.086807,60.0016022,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,,20772.0,20771.99999999983,20772.0,0.0,0.0,1,1,1,509,1.877421,1.7938182,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,feasible,"stopped on a relative gap target (1.050e+02 absolute, 8.739e-05 relative) after 1402 nodes",1201500.0,1201500.0,1201394.9999999998,105.00000000023283,8.73907615482587e-05,1,0,1,1402,0.140368,0.0793164,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,stopped at the time limit after 60.00s and 33432 nodes,-9424.369109407999,-9476.155197,-9501.840568305503,77.47145889750391,0.008220333690046905,0,0,1,33432,60.071393,60.0010898,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,stopped at the time limit after 60.00s and 30415 nodes,6872.821391197999,6840.96564179,6778.621610897634,94.19978030036509,0.0137061295410654,0,0,1,30415,60.064270,60.0006614,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.34999999999997,202.3499999999979,202.34999999999997,0.0,0.0,1,1,1,142,0.159723,0.0504677,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,feasible,stopped at the time limit after 60.00s and 57469 nodes,30518.0,21165.99999999978,13942.050632304401,16575.949367695597,0.5431532003308079,0,0,1,57469,60.085834,60.0008358,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,stopped at the time limit after 60.01s and 8305 nodes,12512.0,11392.99999884458,6026.7080000000005,6485.2919999999995,0.518325767263427,0,0,1,8305,60.090595,60.0064492,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,stopped at the time limit after 60.00s and 71834 nodes,28.0,0.9999999999990905,0.0,28.0,1.0,0,0,1,71834,60.073267,60.0005289,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,stopped at the time limit after 60.00s and 103588 nodes,5.0,1.0,0.0,5.0,1.0,0,0,1,103588,60.099544,60.001299,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,stopped at the time limit after 60.00s and 90227 nodes,16.0,1.0,0.0,16.0,1.0,0,0,1,90227,60.040126,60.0003108,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,node_limit,stopped at the time limit after 60.00s and 24694 nodes,inf,3179698976.996124,3175204364.635297,inf,inf,0,0,,24694,60.040566,60.0004421,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,stopped at the time limit after 60.10s and 1074 nodes,13937034.0,11807698.0,10620818.0,3316216.0,0.23794273587909737,0,0,1,1074,60.190119,60.104162,8dba6a7,Windows-AMD64,2026-08-27T16:05:01+00:00
