instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,stopped at the time limit after 60.00s and 109499 nodes,-1.5000000000000009,-1.50000000000001,-1.7333333333333336,0.23333333333333273,0.15555555555555506,1,0,1,109499,13,-1.8181818181818183,-1.7333333333333336,0.2667,60.028691,60.0014153,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,stopped at the time limit after 60.00s and 87455 nodes,51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,87455,0,1.0,1.0,0.0000,60.019645,60.0015464,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,time_limit,"stopped at the time limit after 60.00s and 165853 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",20.000000000000004,27.0,19.000000000000004,1.0,0.04999999999999999,0,0,,165853,6,1.0000000000000004,1.5000000000000004,0.0263,60.031055,60.0009771,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,time_limit,"stopped at the time limit after 60.00s and 102344 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",34.0,37.0,23.25,10.75,0.3161764705882353,0,0,,102344,95,15.500000000000002,16.500000000000004,0.0541,60.030933,60.0005576,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,,20772.0,20771.99999999983,20772.0,0.0,0.0,1,1,1,1,40,20650.89815396325,20772.0,1.0000,0.039536,0.0197822,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,optimal,,1201500.0,1201500.0,1201499.9999999995,4.656612873077393e-10,3.8756661448833897e-16,1,1,1,725,1,1167185.7255923203,1167875.1663773148,0.0201,0.050756,0.0318798,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,stopped at the time limit after 60.00s and 116314 nodes,-9446.366450848,-9476.155197,-9500.367672560418,54.001221712418555,0.005716613048350551,0,0,1,116314,0,-9505.628172760296,-9505.628172760296,0.0000,60.024213,60.0007673,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,stopped at the time limit after 60.00s and 120126 nodes,6865.6844542300005,6840.96564179,6787.844942628111,77.83951160188917,0.011337472923610937,0,0,1,120126,1,6765.209042727767,6766.160533329095,0.0095,60.026233,60.0008801,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.34999999999997,202.3499999999979,202.34999999999997,0.0,0.0,1,1,1,71,0,185.55,185.55,0.0000,0.036922,0.0223246,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,199,11,13460.233074411899,20539.715,0.9187,0.109708,0.0917601,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,stopped at the time limit after 60.00s and 94717 nodes,12420.0,11392.99999884458,7475.060691996263,4944.939308003737,0.3981432615139885,0,0,1,94717,11,3320.7709999999997,3933.018585,0.0673,60.034718,60.0012182,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,stopped at the time limit after 60.00s and 133867 nodes,40.0,0.9999999999990905,0.0,40.0,1.0,0,0,1,133867,0,0.0,0.0,0.0000,60.024785,60.0011029,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,stopped at the time limit after 60.00s and 192553 nodes,3.9999999999995293,1.0,0.0,3.9999999999995293,1.0,0,0,1,192553,0,0.0,0.0,0.0000,60.027798,60.0005453,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,stopped at the time limit after 60.00s and 140826 nodes,20.999999999999932,1.0,0.0,20.999999999999932,1.0,0,0,1,140826,0,0.0,0.0,0.0000,60.024801,60.0006823,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0,3175561447.5053167,3175561447.5053167,0.0000,0.016729,0.0032581,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,stopped at the time limit after 62.99s and 863 nodes,12191350.0,11807698.0,10874600.792512588,1316749.2074874118,0.10800684153005301,0,0,1,863,143,10593526.0,10851312.35938446,0.1613,63.009839,62.9917897,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,stopped at the time limit after 60.00s and 71984 nodes,119.0,119.0,114.86116984126984,4.138830158730158,0.03478008536748032,1,0,1,71984,58,100.87875,105.25467309849482,0.2415,60.032709,60.0010642,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,stopped at the time limit after 60.00s and 102960 nodes,14429.0,14393.0,11832.357142857143,2596.642857142857,0.1799600011880835,0,0,1,102960,26,8877.000000000002,8877.0,0.0000,60.025329,60.0003832,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,3,-11980000.0,-11980000.0,0.0000,0.024512,0.0053377,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,stopped at the time limit after 60.00s and 54146 nodes,15.5,15.0,14.0,1.5,0.0967741935483871,0,0,1,54146,0,13.0,13.0,0.0000,60.022483,60.000986,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,stopped at the time limit after 60.00s and 110149 nodes,-41.0,-41.00000885,-43.00000000000001,2.000000000000007,0.048780487804878224,1,0,1,110149,28,-43.00000000000001,-42.99999999999999,0.0000,60.026764,60.0005356,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,stopped at the time limit after 60.00s and 91054 nodes,-15.999999999999993,-16.00000000000012,-20.02139037433155,4.021390374331556,0.2513368983957224,1,0,1,91054,0,-20.02139037433155,-20.02139037433155,0.0000,60.036230,60.0009254,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,430,15,6875.0,7155.0,0.3784,1.362258,1.3426231,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,stopped at the time limit after 60.00s and 109580 nodes,18.000000000000018,11.0,5.625046546908403,12.374953453091614,0.6874974140606446,0,0,1,109580,0,0.0,0.0,0.0000,60.026691,60.0003596,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,stopped at the time limit after 60.00s and 67051 nodes,3727.0,3663.999999980964,3505.4578440460227,221.54215595397727,0.05944248885269044,0,0,1,67051,7,3157.377442025726,3162.607013763794,0.0092,60.029298,60.0013809,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,stopped at the time limit after 60.00s and 88744 nodes,3297.0,3252.0,3147.822700591334,149.17729940866593,0.04524637531351711,0,0,1,88744,7,2691.439468864469,2756.57665789072,0.1076,60.025195,60.0009881,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,stopped at the time limit after 60.00s and 99370 nodes,14.999999999999998,14.99999999990919,13.289473684210524,1.7105263157894743,0.11403508771929831,1,0,1,99370,0,13.244444444444444,13.244444444444444,0.0000,60.034916,60.0009715,0d33665-dirty,Windows-AMD64,2026-09-18T04:19:47+00:00,enable_root_cuts=true
