instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,stopped at the time limit after 60.00s and 46101 nodes,-1.5000000000000004,-1.50000000000001,-1.818181818181819,0.31818181818181857,0.21212121212121232,1,0,1,46101,60.051724,60.0008486,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,stopped at the time limit after 60.00s and 89655 nodes,51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,89655,60.041890,60.0010044,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,node_limit,stopped at the time limit after 60.00s and 45913 nodes,inf,27.0,24.0,inf,inf,0,0,,45913,60.058157,60.000762,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,node_limit,stopped at the time limit after 60.00s and 22120 nodes,inf,37.0,19.0,inf,inf,0,0,,22120,60.058649,60.0027082,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,,20772.0,20771.99999999983,20772.0,0.0,0.0,1,1,1,509,3.989986,3.9429905,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,feasible,"stopped on a relative gap target (1.050e+02 absolute, 8.739e-05 relative) after 1402 nodes",1201500.0,1201500.0,1201394.9999999998,105.00000000023283,8.73907615482587e-05,1,0,1,1402,0.220929,0.1799054,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,stopped at the time limit after 60.00s and 44453 nodes,-9424.369109407999,-9476.155197,-9501.601692489747,77.23258308174809,0.008194987079257079,0,0,1,44453,60.054207,60.0014239,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,stopped at the time limit after 60.00s and 37988 nodes,6872.821391197999,6840.96564179,6779.26617367072,93.55521752727964,0.013612345236716832,0,0,1,37988,60.049511,60.0010336,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.34999999999997,202.3499999999979,202.34999999999997,0.0,0.0,1,1,1,142,0.171724,0.1272649,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,feasible,stopped at the time limit after 60.00s and 74022 nodes,30518.0,21165.99999999978,13949.376604577114,16568.62339542289,0.5429131461898843,0,0,1,74022,60.042386,60.001288,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,stopped at the time limit after 60.00s and 12836 nodes,12512.0,11392.99999884458,6218.920999999999,6293.079000000001,0.5029634750639387,0,0,1,12836,60.049235,60.0025485,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,stopped at the time limit after 60.00s and 88752 nodes,28.0,0.9999999999990905,0.0,28.0,1.0,0,0,1,88752,60.046396,60.0008316,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,stopped at the time limit after 60.00s and 119474 nodes,5.0,1.0,0.0,5.0,1.0,0,0,1,119474,60.048592,60.0005513,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,stopped at the time limit after 60.00s and 99787 nodes,16.0,1.0,0.0,16.0,1.0,0,0,1,99787,60.052684,60.0011938,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,node_limit,stopped at the time limit after 60.00s and 27919 nodes,inf,3179698976.996124,3175204364.635297,inf,inf,0,0,,27919,60.057858,60.0016467,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,stopped at the time limit after 60.01s and 1894 nodes,13916994.0,11807698.0,10625252.0,3291742.0,0.236526795944584,0,0,1,1894,60.056839,60.0091306,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,stopped at the time limit after 60.05s and 2091 nodes,124.00000000000004,119.0,103.73750000000003,20.262500000000017,0.1634072580645162,0,0,1,2091,60.090496,60.0472661,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,stopped at the time limit after 60.00s and 10503 nodes,15079.0,14393.0,10654.285714285712,4424.714285714288,0.29343552528113853,0,0,1,10503,60.068422,60.0033175,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,0.074708,0.0137308,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,stopped at the time limit after 60.00s and 12115 nodes,15.999999999999993,15.0,13.75000000000001,2.2499999999999822,0.14062499999999895,0,0,1,12115,60.036358,60.000113,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
