instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,stopped at the time limit after 60.00s and 87367 nodes,-1.5000000000000002,-1.50000000000001,-1.818181818181819,0.3181818181818188,0.2121212121212125,1,0,1,87367,60.056548,60.0031654,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,stopped at the time limit after 60.00s and 81033 nodes,51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,81033,60.030297,60.0012078,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,node_limit,stopped at the time limit after 60.00s and 172649 nodes,inf,27.0,23.500000000000004,inf,inf,0,0,,172649,60.035806,60.0010215,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,node_limit,stopped at the time limit after 60.00s and 104407 nodes,inf,37.0,21.0,inf,inf,0,0,,104407,60.040853,60.0005603,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,,20772.0,20771.99999999983,20772.0,0.0,0.0,1,1,1,509,0.393120,0.3694746,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,feasible,"stopped on a relative gap target (1.050e+02 absolute, 8.739e-05 relative) after 1410 nodes",1201499.9999999998,1201500.0,1201395.0,104.99999999976717,8.739076154787115e-05,1,0,1,1410,0.108926,0.0604867,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,stopped at the time limit after 60.00s and 96879 nodes,-9430.730724407998,-9476.155197,-9500.940440250966,70.20971584296785,0.00744478003822712,0,0,1,96879,60.025506,60.0006309,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,stopped at the time limit after 60.00s and 113035 nodes,6872.821391197999,6840.96564179,6782.896835248332,89.92455594966759,0.013084081606548613,0,0,1,113035,60.269813,60.0011931,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.35,202.3499999999979,202.35,0.0,0.0,1,1,1,139,0.028429,0.0097768,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,feasible,stopped at the time limit after 60.00s and 112921 nodes,30680.0,21165.99999999978,13940.4870745554,16739.5129254446,0.5456164578045828,0,0,1,112921,60.030686,60.0008241,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,stopped at the time limit after 60.00s and 99192 nodes,12099.0,11392.99999884458,7063.882,5035.118,0.41615984792131583,0,0,1,99192,60.046583,60.0008042,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,stopped at the time limit after 60.00s and 135638 nodes,20.0,0.9999999999990905,0.0,20.0,1.0,0,0,1,135638,60.031423,60.00112,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,stopped at the time limit after 60.00s and 181197 nodes,7.000000000000204,1.0,0.0,7.000000000000204,1.0,0,0,1,181197,60.026848,60.0009992,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,stopped at the time limit after 60.00s and 146821 nodes,18.999999999999616,1.0,0.0,18.999999999999616,1.0,0,0,1,146821,60.025603,60.0004839,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0.018190,0.0018375,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,stopped at the time limit after 60.00s and 40636 nodes,13526092.0,11807698.0,10674875.0,2851217.0,0.21079384939862897,0,0,1,40636,60.022455,60.0005033,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,stopped at the time limit after 60.00s and 70243 nodes,119.00000000000007,119.0,108.29749999999999,10.702500000000086,0.08993697478991663,1,0,1,70243,60.033357,60.0010198,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,stopped at the time limit after 60.00s and 96113 nodes,14897.0,14393.0,11406.857142857147,3490.1428571428532,0.23428494711303305,0,0,1,96113,60.029255,60.0009484,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,0.017804,0.0018938,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,stopped at the time limit after 60.00s and 36860 nodes,15.5,15.0,13.875000000000002,1.6249999999999982,0.10483870967741923,0,0,1,36860,60.027277,60.0032968,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,stopped at the time limit after 60.00s and 118728 nodes,-41.0,-41.00000885,-43.00000000000001,2.000000000000007,0.048780487804878224,1,0,1,118728,60.035320,60.0008357,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,stopped at the time limit after 60.00s and 97401 nodes,-15.999999999999998,-16.00000000000012,-20.021390374331553,4.021390374331554,0.2513368983957222,1,0,1,97401,60.037236,60.0004899,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,feasible,"stopped on a relative gap target (1.819e-12 absolute, 2.389e-16 relative) after 2268 nodes",7615.0,7614.999999999997,7614.999999999998,1.8189894035458565e-12,2.388692585089766e-16,1,0,1,2268,1.266107,1.2472097,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,stopped at the time limit after 60.00s and 88751 nodes,19.00000000000009,11.0,4.008203735242427,14.991796264757662,0.7890419086714522,0,0,1,88751,60.057723,60.0046734,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,stopped at the time limit after 60.00s and 50802 nodes,3741.0,3663.999999980964,3395.0662905886165,345.93370941138346,0.09247091938288786,0,0,1,50802,60.055874,60.0012121,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,stopped at the time limit after 60.00s and 80771 nodes,3319.0,3252.0,3011.019330669331,307.9806693306691,0.09279321160911995,0,0,1,80771,60.027087,60.000488,a947a1e,Windows-AMD64,2026-09-06T04:49:51+00:00,
