instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,stopped at the time limit after 60.00s and 89445 nodes,-1.5,-1.50000000000001,-1.8181818181818186,0.31818181818181857,0.21212121212121238,1,0,1,89445,60.023317,60.0008127,a947a1e,Windows-AMD64,2026-09-06T05:11:57+00:00,mip_node_engine=primal
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,stopped at the time limit after 60.00s and 89896 nodes,51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,89896,60.023084,60.0017731,a947a1e,Windows-AMD64,2026-09-06T05:11:57+00:00,mip_node_engine=primal
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,feasible,stopped at the time limit after 60.00s and 109248 nodes,27.0,27.0,26.000000000000004,0.9999999999999964,0.0370370370370369,1,0,1,109248,60.027504,60.0010052,a947a1e,Windows-AMD64,2026-09-06T05:11:57+00:00,mip_node_engine=primal
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,node_limit,stopped at the time limit after 60.00s and 52003 nodes,inf,37.0,20.0,inf,inf,0,0,,52003,60.028793,60.0005502,a947a1e,Windows-AMD64,2026-09-06T05:11:57+00:00,mip_node_engine=primal
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,,20772.0,20771.99999999983,20772.0,0.0,0.0,1,1,1,509,1.755846,1.7365167,a947a1e,Windows-AMD64,2026-09-06T05:11:57+00:00,mip_node_engine=primal
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,feasible,"stopped on a relative gap target (1.050e+02 absolute, 8.739e-05 relative) after 1412 nodes",1201500.0,1201500.0,1201395.0,105.0,8.739076154806491e-05,1,0,1,1412,0.064133,0.0488845,a947a1e,Windows-AMD64,2026-09-06T05:11:57+00:00,mip_node_engine=primal
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,stopped at the time limit after 60.00s and 92579 nodes,-9430.730724407998,-9476.155197,-9500.979478870671,70.24875446267288,0.007448919549877473,0,0,1,92579,60.024272,60.0014344,a947a1e,Windows-AMD64,2026-09-06T05:11:57+00:00,mip_node_engine=primal
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,stopped at the time limit after 60.00s and 88853 nodes,6872.821391197999,6840.96564179,6782.060777574288,90.76061362371092,0.013205728544022365,0,0,1,88853,60.022711,60.0006995,a947a1e,Windows-AMD64,2026-09-06T05:11:57+00:00,mip_node_engine=primal
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.35,202.3499999999979,202.35,0.0,0.0,1,1,1,137,0.042194,0.0265766,a947a1e,Windows-AMD64,2026-09-06T05:11:57+00:00,mip_node_engine=primal
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,feasible,stopped at the time limit after 60.00s and 111866 nodes,30009.0,21165.99999999978,13937.073714434853,16071.926285565147,0.5355702051239677,0,0,1,111866,60.028099,60.000948,a947a1e,Windows-AMD64,2026-09-06T05:11:57+00:00,mip_node_engine=primal
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,stopped at the time limit after 60.00s and 17025 nodes,12512.0,11392.99999884458,6336.8240000000005,6175.1759999999995,0.4935402813299232,0,0,1,17025,60.024717,60.0026015,a947a1e,Windows-AMD64,2026-09-06T05:11:57+00:00,mip_node_engine=primal
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,stopped at the time limit after 60.00s and 138520 nodes,36.0,0.9999999999990905,0.0,36.0,1.0,0,0,1,138520,60.024238,60.0005485,a947a1e,Windows-AMD64,2026-09-06T05:11:57+00:00,mip_node_engine=primal
