instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,stopped at the time limit after 60.00s and 89881 nodes,-1.5000000000000002,-1.50000000000001,-1.8181818181818183,0.3181818181818181,0.21212121212121204,1,0,1,89881,60.037653,60.0016133,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,stopped at the time limit after 60.00s and 77562 nodes,51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,77562,60.026553,60.0005718,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,node_limit,stopped at the time limit after 60.00s and 149484 nodes,inf,27.0,19.0,inf,inf,0,0,,149484,60.029584,60.0005642,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,node_limit,stopped at the time limit after 60.00s and 122764 nodes,inf,37.0,23.0,inf,inf,0,0,,122764,60.054624,60.0019716,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,feasible,"stopped on a relative gap target (1.086e+00 absolute, 5.229e-05 relative) after 543 nodes",20772.0,20771.99999999983,20770.913738691354,1.086261308646499,5.229449781660403e-05,1,0,1,543,1.354831,1.336215,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,feasible,"stopped on a relative gap target (2.250e+01 absolute, 1.873e-05 relative) after 545 nodes",1201499.9999999998,1201500.0,1201477.5,22.49999999976717,1.8726591760105845e-05,1,0,1,545,0.031989,0.0181669,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,stopped at the time limit after 60.00s and 102440 nodes,-9431.21240856,-9476.155197,-9500.507620126016,69.2952115660155,0.007347434090565223,0,0,1,102440,60.040644,60.0035846,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,stopped at the time limit after 60.00s and 107794 nodes,6859.8671468699995,6840.96564179,6786.910691698602,72.95645517139747,0.01063525774033187,0,0,1,107794,60.029332,60.0013528,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.35,202.3499999999979,202.35,0.0,0.0,1,1,1,71,0.034516,0.0163351,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,478,0.115550,0.1001187,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,stopped at the time limit after 60.00s and 86661 nodes,12066.0,11392.99999884458,7003.587000000001,5062.412999999999,0.4195601690701143,0,0,1,86661,60.033684,60.0003649,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,stopped at the time limit after 60.00s and 120259 nodes,40.0,0.9999999999990905,0.0,40.0,1.0,0,0,1,120259,60.028199,60.000915,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,stopped at the time limit after 60.00s and 180237 nodes,4.000000000000365,1.0,0.0,4.000000000000365,1.0,0,0,1,180237,60.021792,60.0002756,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,stopped at the time limit after 60.00s and 130203 nodes,20.999999999999794,1.0,0.0,20.999999999999794,1.0,0,0,1,130203,60.024792,60.0014005,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0.027680,0.0029554,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,stopped at the time limit after 60.00s and 31731 nodes,11990610.0,11807698.0,10621881.0,1368729.0,0.11415007243167778,0,0,1,31731,60.021954,60.0007343,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,stopped at the time limit after 60.00s and 60883 nodes,119.00000000000007,119.0,114.35500000000002,4.645000000000053,0.03903361344537857,1,0,1,60883,60.037902,60.0022644,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,stopped at the time limit after 60.00s and 82180 nodes,15083.0,14393.0,11619.57142857143,3463.4285714285706,0.22962464837423394,0,0,1,82180,60.058882,60.0017459,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,0.033835,0.0076345,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,stopped at the time limit after 60.00s and 29288 nodes,15.5,15.0,13.95,1.5500000000000007,0.10000000000000005,0,0,1,29288,60.035287,60.0032396,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,stopped at the time limit after 60.00s and 96170 nodes,-41.0,-41.00000885,-43.00000000000001,2.000000000000007,0.048780487804878224,1,0,1,96170,60.032095,60.0017319,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,stopped at the time limit after 60.00s and 79382 nodes,-15.999999999999995,-16.00000000000012,-20.021390374331556,4.0213903743315615,0.2513368983957227,1,0,1,79382,60.047057,60.0004073,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,563,1.419238,1.3992588,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,stopped at the time limit after 60.00s and 84230 nodes,18.000000000000284,11.0,5.048040770636185,12.9519592293641,0.7195532905202164,0,0,1,84230,60.045347,60.0022536,63ec8de,Windows-AMD64,2026-09-06T06:07:09+00:00,
