instance,instance_sha256,rows,columns,nonzeros,status,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,passed,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,225494.96316238024,225494.96316,2.3802276700735092e-06,1.0555569121003461e-11,1,1,1,0.038666,0.0225517,139,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,1,0.0161,0.0008596,16,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
agg,d7844795d0c799f5cdc1416c8d242f5e8f351f5a3271f42a2d428f170abf1f03,488,163,2410,optimal,-35991767.2865765,-35991767.287,0.0004234984517097473,1.1766536728601052e-11,1,1,1,0.491186,0.4676092,132,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
bandm,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,305,472,2494,numerical_error,0.0,-158.62801845,158.62801845,1.0,0,,0,1.188454,1.1667002,558,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
beaconfd,7138e7b58b1d6160f1ad42112a61ed00b5db1c92d73dc48d77f6a26fc717dbfc,173,262,3375,optimal,33592.4858072,33592.485807,2.00001522898674e-07,5.953757755462018e-12,1,1,1,0.10944,0.0832786,109,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,-30.81214984582823,-30.812149846,1.7177015365632542e-10,5.574753936834577e-12,1,1,1,0.189385,0.1703889,510,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
boeing1,1d9d58afaf41bad6866d5355330b261d3776ca86753d121eb9b688ee6128ab9e,351,384,3485,numerical_error,0.0,-335.21356751,335.21356751,1.0,0,,0,1.110276,1.0850479,509,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
boeing2,e12e729b8c09bf6e6934af40b728e460d4eb360c42419b791b68fb2271ddd61a,166,143,1196,optimal,-315.01872801520284,-315.01872802,4.797186647920171e-09,1.5228258580282265e-11,1,1,1,0.224254,0.2046599,244,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
bore3d,c7cfe0d4abd466346e3cda4e16d00651f44f3ce1da317cf583c5fed5dfc0515a,233,315,1429,numerical_error,0.0,1373.0803942,1373.0803942,1.0,0,,0,0.284075,0.2612004,254,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
brandy,56fa020b84a0a106b7883b7da006c2852449598898c41ec8dd2575151d0e0917,220,249,2148,numerical_error,0.0,1518.5098965,1518.5098965,1.0,0,,0,0.499714,0.478975,389,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
capri,4932bc8861fcdaf19256827b7ee229941fa6f2e84f2044b65300326c226fba78,271,353,1767,optimal,2690.0129137681565,2690.0129138,3.184368324582465e-08,1.183774363404123e-11,1,1,1,1.155801,1.1296707,712,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
d6cube,8cd94ee7783bcbce884acde1f4769f5c79739c9460fe73cb948924e724b02dfa,415,6184,37704,numerical_error,0.0,315.49166667,315.49166667,1.0,0,,0,7.673254,7.5485998,1423,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
degen2,755cf6ca5f3a8ed1b8b68372e8d2d3b5efee784ee69b1dada923c6ff04ee0edb,444,534,3978,optimal,-1435.178,-1435.178,0.0,0.0,1,1,1,8.471197,8.4284138,1506,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
e226,ddf56486daea52c8592b520aeb83d329223a1b45a3e5a269bd663ef9195bd8d8,223,282,2578,numerical_error,7.113,-18.751929066,25.864929066,1.3793209741229724,0,,0,0.458092,0.4268676,325,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
etamacro,41701e1add7af2ed2b21a421ab7271bc867e6bc7ad98ac189748d6522e7d4926,400,688,2409,optimal,-755.7152283384214,-755.71521774,1.0598421454233176e-05,1.4024358919128594e-08,1,0,0,2.095321,2.0684539,858,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
finnis,891821f24a8cd14af78b95bb460a56f0e0b5410a59ad01ab58d9daf3387e7546,497,614,2310,optimal,172791.0655956116,172790.96547,0.10012561161420308,5.794609188151501e-07,1,1,1,2.758224,2.7304877,911,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
fit1d,59cee4fedd040a05c05d8410474ee014f42ef910e083689202be708491fe8717,24,1026,13404,numerical_error,0.0,-9146.3780924,9146.3780924,1.0,0,,0,0.056509,0.0073917,23,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
fit2d,1c16c328c0358ab175596bdd6b9a2c5d1cb4bb53b099d5d1f2a208a889c7bafc,25,10500,129018,numerical_error,0.0,-68464.293294,68464.293294,1.0,0,,0,0.424344,0.0883243,47,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
forplan,65ec816c0b3c58ec4d61574df130a3ce464abb42f3d49de21710a787bf3cfdc7,161,421,4563,optimal,-664.2189612722054,-664.21873953,0.0002217422054400231,3.338391289546084e-07,1,0,0,0.308927,0.2782677,278,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
grow15,ab84e2f83d00c5bd26291e0505f23804b050bc96dc1e576d9da8f04e1f6ed51f,300,645,5620,optimal,-106870941.29357372,-106870941.29,0.0035737156867980957,3.3439545340024913e-11,1,0,0,3.754811,3.7210095,799,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
grow22,671111a1623539730f4caa9366c7eda43fb472137773cd9444dc96ed87f9810e,440,946,8252,optimal,-160834336.48256886,-160834336.48,0.002568870782852173,1.5972153950917167e-11,1,0,0,11.504846,11.4642894,1316,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
grow7,6b8734ffdf991a36f17cfddf306834a4a3ced3e17964cac9fa2983a043906cd4,140,301,2612,optimal,-47787811.81470987,-47787811.815,0.00029012560844421387,6.071121430865497e-12,1,0,0,0.469743,0.440785,312,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,numerical_error,0.0,-896644.82186,896644.82186,1.0,0,,0,0.579948,0.5522588,221,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
kb2,f0eb647d1d9aac84f49d88662b6b02c6cecc04496e5435be733eced36d7f48f2,43,41,286,numerical_error,0.0,-1749.9001299,1749.9001299,1.0,0,,0,0.031322,0.0078294,45,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
lotfi,fcb90a1b5e02b2eae67adacd0937a073d420ca92ac6af514ee13a348d7f31623,153,308,1078,numerical_error,0.0,-25.264706062,25.264706062,1.0,0,,0,0.095106,0.0748957,147,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
pilot4,67e872aae722a493f5c2c8f88e3d70d093eea116093874ea43852c864a687cba,410,1000,5141,numerical_error,0.0,-2581.1392641,2581.1392641,1.0,0,,0,1.041738,1.0070485,279,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
recipe,277b34645cc89526db4a3365fa781ce28aa9768a65c4f301416a8a05c934af61,91,180,663,optimal,-266.61600000000027,-266.616,2.8421709430404007e-13,1.0660166468030429e-15,1,1,1,0.0294,0.0081248,49,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,optimal,-52.20206121170722,-52.202061212,2.927791342699493e-10,5.608574210909634e-12,1,1,1,0.049352,0.031214,108,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
sc205,bcecc8d8cafd08c6d97cf8e39a740f5d777e317600bb9f6f158f2ceb550005f9,205,203,551,optimal,-52.202061211707225,-52.202061212,2.927720288425917e-10,5.608438096986301e-12,1,1,1,0.190049,0.1719761,219,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,optimal,-64.5750770585645,-64.575077059,4.354916427473654e-10,6.743958545329677e-12,1,1,1,0.023344,0.0062009,48,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,optimal,-69.99999999999997,-70.0,2.842170943040401e-14,4.0602442043434295e-16,1,1,1,0.024165,0.0060674,48,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
scagr25,7bac79b91dec46966af26a236d593c823f1e61eb055597426365e4f6bc36df76,471,500,1554,optimal,-14753433.060768528,-14753433.061,0.00023147277534008026,1.5689417804183323e-11,1,1,1,2.796095,2.7687349,868,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
scagr7,2170c16fd0cc04a823172c1564e89593e75aac5225e2c2f893a6837ba0b26085,129,140,420,optimal,-2331389.824330984,-2331389.2548,0.5695309839211404,2.442882426212426e-07,1,1,1,0.103576,0.0816775,183,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
scfxm1,3e602523ca64bb4fd7387da7eca577d964e08d7c04326c59937a0d58add7de25,330,457,2589,numerical_error,0.0,18416.759028,18416.759028,1.0,0,,0,1.10029,1.0685509,554,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
scorpion,39b61cae042ce4adffb441faec77f5cc003fa725baa25edfb1738aef93a83c5d,388,358,1426,optimal,1878.124822738107,1878.1248227,3.810691850958392e-08,2.0289875331502864e-11,1,1,1,0.962188,0.9375986,404,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
scrs8,33b12d5e3d07b47a8b837ab0bf445fbfb5980af5c825bf049c23e71fb3faf026,490,1169,3182,numerical_error,0.0,904.29998619,904.29998619,1.0,0,,0,2.474849,2.4419737,806,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
scsd1,8c4aac4987a81ef66715b5cb2debdb1993afe6cb5e2a29f32556a03802bf55f5,77,760,2388,optimal,8.666666674333364,8.6666666743,3.3363534157615504e-11,3.8496385532573e-12,1,1,1,0.123134,0.0914818,294,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
scsd6,f3da742cfa24cfadb99d510847ea1f7a361ba61537d4c2900c09b674912a5891,147,1350,4316,optimal,50.50000007826238,50.500000078,2.623821160341322e-10,5.1956854579974005e-12,1,1,1,0.413925,0.3786322,589,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
scsd8,2090a22840fe2c75730cd76336702ece7c27a739d58740926b67c4b2e57b8e5c,397,2750,8584,numerical_error,0.0,904.99999993,904.99999993,1.0,0,,0,1.94904,1.8972505,1000,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
sctap1,2b1ab5950d3e37fd21327892e2bc830c5f0d8d3fc1f687c0f57a5cdefd9caa21,300,480,1692,optimal,1412.2499999999998,1412.25,2.2737367544323206e-13,1.6100100934199472e-16,1,1,1,0.543992,0.5204189,360,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
