instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
25fv47,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,821,1571,10400,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 0.0e+00 / 0.0e+00, gap -nan",nan,5501.8458883,nan,nan,0,,,0,0.0,0,1.01615,0.9899228,300,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
80bau3b,22aef70f5ce164435b15c5c0aa3be93a99932dc136eb936eb17835a661087b9f,2262,9799,21002,optimal,,987224.1924094913,987232.16072,7.968310508760624,8.071364392089132e-06,0,1,,0,0.0,0,0.354294,0.3038581,58,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,,225494.96316238376,225494.96316,2.383749233558774e-06,1.0571186159343986e-11,1,1,,1,0.0,0,0.020583,0.0028231,48,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,,-464.7531428262937,-464.75314286,3.370632839505561e-08,7.252522960389993e-11,1,1,,1,0.0,0,0.018016,0.0005685,13,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
agg,d7844795d0c799f5cdc1416c8d242f5e8f351f5a3271f42a2d428f170abf1f03,488,163,2410,numerical_error,"the interior-point iteration stalled after 5 iterations (steps 6.8e-10 / 1.2e-09); the model may be infeasible or unbounded, which this method does not certify",0.0,-35991767.287,35991767.287,1.0,0,,,0,0.0,0,0.033784,0.0156658,5,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
agg2,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,516,302,4284,numerical_error,"the interior-point iteration stalled after 5 iterations (steps 2.7e-09 / 2.9e-09); the model may be infeasible or unbounded, which this method does not certify",0.0,-20239252.356,20239252.356,1.0,0,,,0,0.0,0,0.04416,0.022442,5,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
agg3,1a6e78a0b7d210c935c97527ce49449d0655f9605fcbc33bfdfc93952f3b12d1,516,302,4300,numerical_error,"the interior-point iteration stalled after 5 iterations (steps 8.2e-10 / 4.5e-10); the model may be infeasible or unbounded, which this method does not certify",0.0,10312115.935,10312115.935,1.0,0,,,0,0.0,0,0.043386,0.0223328,5,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
bandm,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,305,472,2494,optimal,,-158.62801844554212,-158.62801845,4.457888280740008e-09,2.8102779851247694e-11,1,1,,1,0.0,0,0.047596,0.0266605,38,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
beaconfd,7138e7b58b1d6160f1ad42112a61ed00b5db1c92d73dc48d77f6a26fc717dbfc,173,262,3375,numerical_error,"the interior-point iteration stalled after 247 iterations (steps 6.4e-09 / 2.3e-08); the model may be infeasible or unbounded, which this method does not certify",3.4335,33592.485807,33589.052307,0.9998977896420133,0,,,0,0.0,0,0.107315,0.0880936,247,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,,-30.812149833562593,-30.812149846,1.2437407548304691e-08,4.0365270227709544e-10,1,1,,1,0.0,0,0.021083,0.0026926,14,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
