instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
25fv47,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,821,1571,10400,numerical_error,"the iterate stopped being finite at iteration 76; the best earlier iterate does not meet the feasibility tolerances (relative gap 1.7e+01, infeasibility 7.3e-01 / 1.2e-01, merit 2.0e+02)",25.291700000000013,5501.8458883,5476.5541883000005,0.9954030519004933,0,,,0,0.0,0,0.283949,0.238658,76,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
80bau3b,22aef70f5ce164435b15c5c0aa3be93a99932dc136eb936eb17835a661087b9f,2262,9799,21002,optimal,"crossover push: 358 superbasic, 279 pivots in the push; crossover: 641 pivots from the interior point's basis guess in 0.09s, after 60 interior point iterations",987224.1924090908,987232.16072,7.968310909229331,8.071364797737087e-06,0,1,,0,0.0,0,0.37755,0.3336617,701,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,"crossover push: 30 superbasic, 22 pivots in the push; crossover: 30 pivots from the interior point's basis guess in 0.00s, after 48 interior point iterations",225494.96316238024,225494.96316,2.3802276700735092e-06,1.0555569121003461e-11,1,1,,1,0.0,0,0.018991,0.0033111,78,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,"crossover push: 7 superbasic, 6 pivots in the push; crossover: 6 pivots from the interior point's basis guess in 0.00s, after 13 interior point iterations",-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,,1,0.0,0,0.017533,0.0007721,19,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
agg,d7844795d0c799f5cdc1416c8d242f5e8f351f5a3271f42a2d428f170abf1f03,488,163,2410,numerical_error,"the interior-point iteration stalled after 5 iterations (steps 6.8e-10 / 1.2e-09); the model may be infeasible or unbounded, which this method does not certify",0.0,-35991767.287,35991767.287,1.0,0,,,0,0.0,0,0.028134,0.0117957,5,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
agg2,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,516,302,4284,numerical_error,"the interior-point iteration stalled after 5 iterations (steps 2.7e-09 / 2.9e-09); the model may be infeasible or unbounded, which this method does not certify",0.0,-20239252.356,20239252.356,1.0,0,,,0,0.0,0,0.035649,0.0169773,5,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
agg3,1a6e78a0b7d210c935c97527ce49449d0655f9605fcbc33bfdfc93952f3b12d1,516,302,4300,numerical_error,"the interior-point iteration stalled after 5 iterations (steps 8.2e-10 / 4.5e-10); the model may be infeasible or unbounded, which this method does not certify",0.0,10312115.935,10312115.935,1.0,0,,,0,0.0,0,0.034837,0.0168755,5,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
bandm,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,305,472,2494,optimal,"crossover push: 5 superbasic, 5 pivots in the push; crossover: 6 pivots from the interior point's basis guess in 0.00s, after 38 interior point iterations",-158.62801845012072,-158.62801845,1.2070699995092582e-10,7.609437546430236e-13,1,1,,1,0.0,0,0.04318,0.0256603,44,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
beaconfd,7138e7b58b1d6160f1ad42112a61ed00b5db1c92d73dc48d77f6a26fc717dbfc,173,262,3375,numerical_error,"the interior-point iteration stalled after 170 iterations (steps 1.3e-08 / 4.5e-08); the model may be infeasible or unbounded, which this method does not certify",3.4335,33592.485807,33589.052307,0.9998977896420133,0,,,0,0.0,0,0.069966,0.0533905,170,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,"crossover push: 5 superbasic, 4 pivots in the push; crossover: 8 pivots from the interior point's basis guess in 0.00s, after 14 interior point iterations",-30.812149845828223,-30.812149846,1.7177725908368302e-10,5.574984541560087e-12,1,1,,1,0.0,0,0.015683,0.002606,22,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
