instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,,225494.9631623803,225494.96316,2.3802858777344227e-06,1.0555827253868593e-11,1,1,,1,0.0,0,0.042949,0.0034515,73,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,,-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,,1,0.0,0,0.02443,0.000765,13,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
agg,d7844795d0c799f5cdc1416c8d242f5e8f351f5a3271f42a2d428f170abf1f03,488,163,2410,optimal,,-35991767.2865765,-35991767.287,0.0004234984517097473,1.1766536728601052e-11,1,1,,1,0.0,0,0.037853,0.0115918,147,simplex-dual+primal,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
bandm,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,305,472,2494,optimal,,-158.62801845012086,-158.62801845,1.2084910849807784e-10,7.61839614961652e-13,1,1,,1,0.0,0,0.045786,0.0193728,452,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
beaconfd,7138e7b58b1d6160f1ad42112a61ed00b5db1c92d73dc48d77f6a26fc717dbfc,173,262,3375,optimal,,33592.485807200006,33592.485807,2.000087988562882e-07,5.953974350258128e-12,1,1,,1,0.0,0,0.030817,0.0064802,115,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,,-30.812149845828223,-30.812149846,1.7177725908368302e-10,5.574984541560087e-12,1,1,,1,0.0,0,0.038604,0.0051934,97,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
boeing1,1d9d58afaf41bad6866d5355330b261d3776ca86753d121eb9b688ee6128ab9e,351,384,3485,optimal,,-335.213567507127,-335.21356751,2.8730369194818195e-09,8.570765619133575e-12,1,1,,1,0.0,0,0.052753,0.0154981,357,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
boeing2,e12e729b8c09bf6e6934af40b728e460d4eb360c42419b791b68fb2271ddd61a,166,143,1196,optimal,,-315.01872801520284,-315.01872802,4.797186647920171e-09,1.5228258580282265e-11,1,1,,1,0.0,0,0.03252,0.0037975,133,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
bore3d,c7cfe0d4abd466346e3cda4e16d00651f44f3ce1da317cf583c5fed5dfc0515a,233,315,1429,optimal,,1373.080394208493,1373.0803942,8.493088898831047e-09,6.185427258816399e-12,1,1,,1,0.0,0,0.036906,0.0058891,161,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
brandy,56fa020b84a0a106b7883b7da006c2852449598898c41ec8dd2575151d0e0917,220,249,2148,optimal,,1518.509896488128,1518.5098965,1.1871861715917476e-08,7.818099666838409e-12,1,1,,1,0.0,0,0.05265,0.0207811,282,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
capri,4932bc8861fcdaf19256827b7ee229941fa6f2e84f2044b65300326c226fba78,271,353,1767,optimal,,2690.0129137681615,2690.0129138,3.18386810249649e-08,1.1835884081310426e-11,1,1,,1,0.0,0,0.044172,0.0091149,236,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
d6cube,8cd94ee7783bcbce884acde1f4769f5c79739c9460fe73cb948924e724b02dfa,415,6184,37704,optimal,,315.4916666666668,315.49166667,3.3331843951600604e-09,1.0565047344488266e-11,1,1,,1,0.0,0,0.70299,0.638477,1013,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
degen2,755cf6ca5f3a8ed1b8b68372e8d2d3b5efee784ee69b1dada923c6ff04ee0edb,444,534,3978,optimal,,-1435.178,-1435.178,0.0,0.0,1,1,,1,0.0,0,0.089317,0.0530001,639,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
e226,ddf56486daea52c8592b520aeb83d329223a1b45a3e5a269bd663ef9195bd8d8,223,282,2578,optimal,,-11.63892906637053,-18.751929066,7.112999999629469,0.3793209741032128,0,1,,0,7.113,1,0.057625,0.0217435,507,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
etamacro,41701e1add7af2ed2b21a421ab7271bc867e6bc7ad98ac189748d6522e7d4926,400,688,2409,optimal,,-755.7152331221231,-755.71521774,1.5382123137896997e-05,2.035439114736623e-08,1,1,,1,0.0,0,0.064609,0.0319413,705,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
finnis,891821f24a8cd14af78b95bb460a56f0e0b5410a59ad01ab58d9daf3387e7546,497,614,2310,optimal,,172791.06559561164,172790.96547,0.10012561164330691,5.794609189835839e-07,1,1,,1,0.0,0,0.078435,0.0371077,403,simplex-dual+primal,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
fit1d,59cee4fedd040a05c05d8410474ee014f42ef910e083689202be708491fe8717,24,1026,13404,optimal,,-9146.378092420928,-9146.3780924,2.092747308779508e-08,2.2880612277754342e-12,1,1,,1,0.0,0,0.080057,0.0184514,56,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
fit2d,1c16c328c0358ab175596bdd6b9a2c5d1cb4bb53b099d5d1f2a208a889c7bafc,25,10500,129018,optimal,,-68464.2932938321,-68464.293294,1.6789999790489674e-07,2.4523731981559937e-12,1,1,,1,0.0,0,0.445489,0.2917307,224,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
forplan,65ec816c0b3c58ec4d61574df130a3ce464abb42f3d49de21710a787bf3cfdc7,161,421,4563,optimal,,-664.2189612722057,-664.21873953,0.00022174220566739677,3.3383912929692586e-07,1,1,,1,0.0,0,0.053502,0.0133978,309,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
