instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,,225494.96316238042,225494.96316,2.3804022930562496e-06,1.055634351959886e-11,1,1,,1,0.0,0,0.023368,0.0015486,159,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,,-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,,1,0.0,0,0.027964,0.000695,14,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
agg,d7844795d0c799f5cdc1416c8d242f5e8f351f5a3271f42a2d428f170abf1f03,488,163,2410,optimal,,-35991767.286576495,-35991767.287,0.00042350590229034424,1.1766743736513097e-11,1,1,,1,0.0,0,0.046328,0.0097374,141,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
bandm,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,305,472,2494,optimal,,-158.62801845012075,-158.62801845,1.2073542166035622e-10,7.611229267067492e-13,1,1,,1,0.0,0,0.040041,0.0111224,476,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
beaconfd,7138e7b58b1d6160f1ad42112a61ed00b5db1c92d73dc48d77f6a26fc717dbfc,173,262,3375,optimal,,33592.4858072,33592.485807,2.00001522898674e-07,5.953757755462018e-12,1,1,,1,0.0,0,0.038158,0.0041727,93,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,,-30.81214984582823,-30.812149846,1.7177015365632542e-10,5.574753936834577e-12,1,1,,1,0.0,0,0.043601,0.004477,298,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
boeing1,1d9d58afaf41bad6866d5355330b261d3776ca86753d121eb9b688ee6128ab9e,351,384,3485,optimal,,-335.2135675071272,-335.21356751,2.8728095458063763e-09,8.570087324167377e-12,1,1,,1,0.0,0,0.08657,0.0405348,823,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
boeing2,e12e729b8c09bf6e6934af40b728e460d4eb360c42419b791b68fb2271ddd61a,166,143,1196,optimal,,-315.0187280152027,-315.01872802,4.7973003347578924e-09,1.5228619469421892e-11,1,1,,1,0.0,0,0.029544,0.003006,208,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
bore3d,c7cfe0d4abd466346e3cda4e16d00651f44f3ce1da317cf583c5fed5dfc0515a,233,315,1429,optimal,,1373.080394208493,1373.0803942,8.493088898831047e-09,6.185427258816399e-12,1,1,,1,0.0,0,0.027685,0.0033393,149,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
brandy,56fa020b84a0a106b7883b7da006c2852449598898c41ec8dd2575151d0e0917,220,249,2148,optimal,,1518.509896488126,1518.5098965,1.1873908078996465e-08,7.819447279444493e-12,1,1,,1,0.0,0,0.037515,0.0063791,314,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
capri,4932bc8861fcdaf19256827b7ee229941fa6f2e84f2044b65300326c226fba78,271,353,1767,optimal,,2690.012913768144,2690.0129138,3.185641617164947e-08,1.1842477040992363e-11,1,1,,1,0.0,0,0.034124,0.0073396,370,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
d6cube,8cd94ee7783bcbce884acde1f4769f5c79739c9460fe73cb948924e724b02dfa,415,6184,37704,time_limit,time limit 59.999s reached,316.07333333333304,315.49166667,0.5816666633330669,0.0018436831294865307,0,,,0,0.0,0,120.094579,120.0231766,169544,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
degen2,755cf6ca5f3a8ed1b8b68372e8d2d3b5efee784ee69b1dada923c6ff04ee0edb,444,534,3978,optimal,,-1435.178,-1435.178,0.0,0.0,1,1,,1,0.0,0,60.114405,60.0774812,1485,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
e226,ddf56486daea52c8592b520aeb83d329223a1b45a3e5a269bd663ef9195bd8d8,223,282,2578,optimal,,-11.638929066370558,-18.751929066,7.112999999629441,0.3793209741032113,0,1,,0,7.113,1,0.044289,0.0144737,588,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
etamacro,41701e1add7af2ed2b21a421ab7271bc867e6bc7ad98ac189748d6522e7d4926,400,688,2409,optimal,,-755.7152331580163,-755.71521774,1.5418016346302466e-05,2.040188682770043e-08,1,0,REJECTED: 1 of 11 checks failed,0,0.0,0,0.055439,0.0197092,672,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
finnis,891821f24a8cd14af78b95bb460a56f0e0b5410a59ad01ab58d9daf3387e7546,497,614,2310,optimal,,172791.06559561158,172790.96547,0.10012561158509925,5.794609186467163e-07,1,1,,1,0.0,0,0.052185,0.0259408,589,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
fit1d,59cee4fedd040a05c05d8410474ee014f42ef910e083689202be708491fe8717,24,1026,13404,optimal,,-9146.37809242094,-9146.3780924,2.09402060136199e-08,2.2894533554237983e-12,1,1,,1,0.0,0,0.092408,0.0561618,1622,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
fit2d,1c16c328c0358ab175596bdd6b9a2c5d1cb4bb53b099d5d1f2a208a889c7bafc,25,10500,129018,optimal,,-68464.29329383251,-68464.293294,1.6749254427850246e-07,2.4464218678085877e-12,1,1,,1,0.0,0,10.101653,9.963724,30210,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
