instance,algorithm,tolerance,restarts_enabled,status,objective,published_objective,relative_error,iterations,seconds,reached_tolerance,git_commit,machine,timestamp_utc,solver_options
adlittle,simplex,,,optimal,225494.96316238036,225494.96316,1.0556085386733726e-11,86,0.035704,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
adlittle,pdhg,0.0001,1,optimal,225494.96316224762,225494.96316,9.967413387798766e-12,192080,1.617133,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
adlittle,pdhg,1e-08,1,optimal,225494.96316224762,225494.96316,9.967413387798766e-12,192080,2.177147,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
afiro,simplex,,,optimal,-464.75314285714285,-464.75314286,6.147731649617561e-12,15,0.023829,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
afiro,pdhg,0.0001,1,optimal,-464.75314284620515,-464.75314286,2.968215446825738e-11,1040,0.03107,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
afiro,pdhg,1e-08,1,optimal,-464.75314284620515,-464.75314286,2.968215446825738e-11,1040,0.031896,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
blend,simplex,,,optimal,-30.812149845828223,-30.812149846,5.574984541560087e-12,212,0.035603,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
blend,pdhg,0.0001,1,optimal,-30.812149875732423,-30.812149846,9.64957748637093e-10,44520,0.384785,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
blend,pdhg,1e-08,1,optimal,-30.812149875732423,-30.812149846,9.64957748637093e-10,44520,0.405507,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
israel,simplex,,,optimal,-896644.821863046,-896644.82186,3.3971164739267804e-12,195,0.048403,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
israel,pdhg,0.0001,1,optimal,-896644.8218631451,-896644.82186,3.5076055287447315e-12,368720,5.535532,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
israel,pdhg,1e-08,1,optimal,-896644.8218631451,-896644.82186,3.5076055287447315e-12,368720,5.677586,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
sc105,simplex,,,optimal,-52.20206121170722,-52.202061212,5.608574210909634e-12,89,0.030151,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
sc105,pdhg,0.0001,1,optimal,-52.20206122190958,-52.202061212,1.8983128317546706e-10,61440,0.462655,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
sc105,pdhg,1e-08,1,optimal,-52.20206122190958,-52.202061212,1.8983128317546706e-10,61440,3.61788,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
sc50a,simplex,,,optimal,-64.57507705856447,-64.575077059,6.744398679677553e-12,40,0.026923,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
sc50a,pdhg,0.0001,1,optimal,-64.5750770518034,-64.575077059,1.1144531788980677e-10,7680,0.082216,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
sc50a,pdhg,1e-08,1,optimal,-64.5750770518034,-64.575077059,1.1144531788980677e-10,7680,0.076121,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
sc50b,simplex,,,optimal,-69.99999999999999,-70.0,2.0301221021717148e-16,45,0.029531,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
sc50b,pdhg,0.0001,1,optimal,-69.99999999086126,-70.0,1.3055349817087907e-10,8360,0.069583,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
sc50b,pdhg,1e-08,1,optimal,-69.99999999086126,-70.0,1.3055349817087907e-10,8360,0.071707,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
share2b,simplex,,,optimal,-415.73224074141916,-415.73224074,3.413622173620339e-12,111,0.021986,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
share2b,pdhg,0.0001,1,optimal,-415.7322407240411,-415.73224074,3.83874570411062e-11,1000009,6.903685,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
share2b,pdhg,1e-08,1,optimal,-415.7322407240411,-415.73224074,3.83874570411062e-11,1000009,7.330503,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
stocfor1,simplex,,,optimal,-41131.97621943643,-41131.976219,1.0610571280306333e-11,64,0.02122,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
stocfor1,pdhg,0.0001,1,optimal,-41131.97618625287,-41131.976219,7.961476933295168e-10,321000,2.055623,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
stocfor1,pdhg,1e-08,1,optimal,-41131.97618625287,-41131.976219,7.961476933295168e-10,321000,2.208036,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
adlittle,pdhg,1e-08,1,optimal,225494.96316224762,225494.96316,9.967413387798766e-12,192080,1.403172,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
