instance,algorithm,tolerance,restarts_enabled,status,objective,published_objective,relative_error,iterations,seconds,reached_tolerance,git_commit,machine,timestamp_utc
adlittle,simplex,,,optimal,225494.96316238036,225494.96316,1.0556085386733726e-11,140,0.631489,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
adlittle,pdhg,0.0001,1,optimal,225486.3855759106,225494.96316,3.803891656477508e-05,3160,0.031616,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
adlittle,pdhg,1e-08,1,optimal,225494.96405082147,225494.96316,3.9505159620313185e-09,51400,0.156358,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
afiro,simplex,,,optimal,-464.75314285714285,-464.75314286,6.147731649617561e-12,16,0.023478,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
afiro,pdhg,0.0001,1,optimal,-464.75226521312317,-464.75314286,1.8884151518758852e-06,3200,0.026856,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
afiro,pdhg,1e-08,1,optimal,-464.7531424614533,-464.75314286,8.575449645236512e-10,3560,0.025841,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
blend,simplex,,,optimal,-30.81214984582821,-30.812149846,5.575445751011107e-12,468,0.04257,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
blend,pdhg,0.0001,1,optimal,-30.800611396025143,-30.812149846,0.0003744772770652714,2600,0.034729,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
blend,pdhg,1e-08,1,optimal,-30.8121497540767,-30.812149846,2.983345901876708e-09,61400,0.172426,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
sc105,simplex,,,optimal,-52.20206121170728,-52.202061212,5.607349185599643e-12,107,0.080994,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
sc105,pdhg,0.0001,1,optimal,-52.191828701785134,-52.202061212,0.00019601735979939413,8120,0.139086,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
sc105,pdhg,1e-08,1,optimal,-52.20206161113638,-52.202061212,7.64598893884165e-09,60320,0.364592,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
sc50a,simplex,,,optimal,-64.57507705856449,-64.575077059,6.744178612503615e-12,47,0.034411,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
sc50a,pdhg,0.0001,1,optimal,-64.56717225816074,-64.575077059,0.00012241256533126262,3640,0.040531,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
sc50a,pdhg,1e-08,1,optimal,-64.57507930850335,-64.575077059,3.483547300010833e-08,11440,0.053114,1,bb66a4e,Windows-AMD64,2026-08-25T18:55:06+00:00
