instance,algorithm,tolerance,restarts_enabled,status,objective,published_objective,relative_error,iterations,seconds,reached_tolerance,git_commit,machine,timestamp_utc
adlittle,simplex,,,optimal,225494.96316238036,225494.96316,1.0556085386733726e-11,86,0.018681,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
adlittle,pdhg,0.0001,1,feasible,225494.96313805197,225494.96316,9.733273972480215e-11,157440,0.675357,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
adlittle,pdhg,1e-08,1,feasible,225494.96313805197,225494.96316,9.733273972480215e-11,157440,0.653782,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
afiro,simplex,,,optimal,-464.75314285714285,-464.75314286,6.147731649617561e-12,15,0.016034,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
afiro,pdhg,0.0001,1,optimal,-464.7531428514029,-464.75314286,1.8498233927889925e-11,3600,0.026567,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
afiro,pdhg,1e-08,1,optimal,-464.7531428514029,-464.75314286,1.8498233927889925e-11,3600,0.025732,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
blend,simplex,,,optimal,-30.812149845828223,-30.812149846,5.574984541560087e-12,212,0.017535,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
blend,pdhg,0.0001,1,feasible,-30.812149776639643,-30.812149846,2.2510716650474364e-09,41800,0.180827,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
blend,pdhg,1e-08,1,feasible,-30.812149468542685,-30.812149846,1.2250275202091232e-08,50480,0.309077,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
israel,simplex,,,optimal,-896644.821863046,-896644.82186,3.3971164739267804e-12,195,0.041688,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
israel,pdhg,0.0001,1,optimal,-896644.8218631716,-896644.82186,3.537207766698307e-12,569760,4.635351,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
israel,pdhg,1e-08,1,optimal,-896644.8218631716,-896644.82186,3.537207766698307e-12,569760,4.803825,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
sc105,simplex,,,optimal,-52.20206121170722,-52.202061212,5.608574210909634e-12,89,0.018431,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
sc105,pdhg,0.0001,1,feasible,-52.20206119943326,-52.202061212,2.407325820587574e-10,37360,0.17933,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
sc105,pdhg,1e-08,1,feasible,-52.202061209731674,-52.202061212,4.345273665677393e-11,69880,0.311718,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
sc50a,simplex,,,optimal,-64.57507705856447,-64.575077059,6.744398679677553e-12,40,0.017653,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
