instance,algorithm,tolerance,restarts_enabled,status,objective,published_objective,relative_error,iterations,seconds,reached_tolerance,git_commit,machine,timestamp_utc,solver_options
adlittle,simplex,,,optimal,225494.96316238036,225494.96316,1.0556085386733726e-11,86,0.028329,1,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
adlittle,pdhg,0.0001,1,feasible,225494.9631556683,225494.96316,1.9209860623872543e-11,132520,1.255047,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
adlittle,pdhg,1e-08,1,feasible,225494.9631556683,225494.96316,1.9209860623872543e-11,132520,0.904083,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
afiro,simplex,,,optimal,-464.75314285714285,-464.75314286,6.147731649617561e-12,15,0.021704,1,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
afiro,pdhg,0.0001,1,optimal,-464.75314284620515,-464.75314286,2.968215446825738e-11,1040,0.032989,1,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
afiro,pdhg,1e-08,1,optimal,-464.75314284620515,-464.75314286,2.968215446825738e-11,1040,0.026687,1,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
blend,simplex,,,optimal,-30.812149845828223,-30.812149846,5.574984541560087e-12,212,0.023519,1,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
blend,pdhg,0.0001,1,feasible,-30.812149886112557,-30.812149846,1.3018421964113708e-09,43680,0.276989,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
blend,pdhg,1e-08,1,feasible,-30.812149854032572,-30.812149846,2.6069495251312337e-10,44120,0.255747,0,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
israel,simplex,,,optimal,-896644.821863046,-896644.82186,3.3971164739267804e-12,195,0.035211,1,f18d4b0,Windows-AMD64,2026-09-09T14:11:15+00:00,pdhg_stop_at_request=true
