case,instance,sha256,arm,rep,status,objective,iterations,nodes,solve_seconds,commit,machine
dual simplex,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,main,1,optimal,5501.845888286749,4107,0,0.9443268,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
dual simplex,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,off,1,optimal,5501.845888286749,4107,0,0.7483502,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
dual simplex,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,basic,1,optimal,5501.845888286749,4107,0,0.6584954,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
dual simplex,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,detailed,1,optimal,5501.845888286749,4107,0,0.5981199,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
dual simplex,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,main,2,optimal,5501.845888286749,4107,0,0.634372,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
dual simplex,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,off,2,optimal,5501.845888286749,4107,0,0.6740743,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
dual simplex,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,basic,2,optimal,5501.845888286749,4107,0,0.7186512,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
dual simplex,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,detailed,2,optimal,5501.845888286749,4107,0,0.5885592,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
dual simplex,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,main,3,optimal,5501.845888286749,4107,0,0.6464391,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
dual simplex,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,off,3,optimal,5501.845888286749,4107,0,0.5865135,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
