instance,sha256,mode,run,status,objective,iterations,nodes,solve_seconds,termination_reason,commit,machine
25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,no limit,1,optimal,5501.845888286749,4107,0,1.2736617,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,no limit,2,optimal,5501.845888286749,4107,0,1.1407943,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,no limit,3,optimal,5501.845888286749,4107,0,1.1998261,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,generous,1,optimal,5501.845888286749,4107,0,1.1129903,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,generous,2,optimal,5501.845888286749,4107,0,1.208576,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,generous,3,optimal,5501.845888286749,4107,0,1.1575391,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
bandm.mps,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,no limit,1,optimal,-158.62801845012086,484,0,0.0483604,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
bandm.mps,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,no limit,2,optimal,-158.62801845012086,484,0,0.0533708,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
bandm.mps,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,no limit,3,optimal,-158.62801845012086,484,0,0.0420934,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
bandm.mps,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,generous,1,optimal,-158.62801845012086,484,0,0.0447241,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
bandm.mps,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,generous,2,optimal,-158.62801845012086,484,0,0.0534701,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
bandm.mps,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,generous,3,optimal,-158.62801845012086,484,0,0.0482321,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
agg2.mps,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,no limit,1,optimal,-20239252.355977118,159,0,0.0182815,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
agg2.mps,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,no limit,2,optimal,-20239252.355977118,159,0,0.0182176,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
agg2.mps,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,no limit,3,optimal,-20239252.355977118,159,0,0.0238529,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
agg2.mps,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,generous,1,optimal,-20239252.355977118,159,0,0.0184307,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
agg2.mps,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,generous,2,optimal,-20239252.355977118,159,0,0.019271,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
agg2.mps,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,generous,3,optimal,-20239252.355977118,159,0,0.0195991,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
lot_sizing.mps,2d754695b13a433b7bde4b53ae06c9479ed12eaa247b6382ec8aad0d4d61cbda,no limit,1,optimal,770.0,0,13,0.0081951,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
lot_sizing.mps,2d754695b13a433b7bde4b53ae06c9479ed12eaa247b6382ec8aad0d4d61cbda,no limit,2,optimal,770.0,0,13,0.0075677,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
lot_sizing.mps,2d754695b13a433b7bde4b53ae06c9479ed12eaa247b6382ec8aad0d4d61cbda,no limit,3,optimal,770.0,0,13,0.009087,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
lot_sizing.mps,2d754695b13a433b7bde4b53ae06c9479ed12eaa247b6382ec8aad0d4d61cbda,generous,1,optimal,770.0,0,13,0.0076173,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
lot_sizing.mps,2d754695b13a433b7bde4b53ae06c9479ed12eaa247b6382ec8aad0d4d61cbda,generous,2,optimal,770.0,0,13,0.007695,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
lot_sizing.mps,2d754695b13a433b7bde4b53ae06c9479ed12eaa247b6382ec8aad0d4d61cbda,generous,3,optimal,770.0,0,13,0.0071307,none,3fa7885,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
