family,parameter,value,seed,rows,columns,status,objective,expected_objective,relative_error,primal_infeasibility,dual_infeasibility,verified,iterations,solver_seconds,message,git_commit,machine,timestamp_utc,solver_options
conditioning,entry spread 10^k,0,71000,10,12,optimal,7.9999999999999964,8.0,4.440892098500626e-16,,,1,9,0.0087557,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,0,72000,10,12,optimal,325.0,325.0,0.0,,,1,16,0.0035197,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,0,73000,10,12,optimal,-143.99999999999994,-144.0,3.9474596431116675e-16,,,1,15,0.0884908,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,2,71002,10,12,optimal,-40.99999999999993,-41.0,1.7330310628295126e-15,,,1,9,0.0120285,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,2,72002,10,12,optimal,82.99999999999994,83.0,6.848604682025062e-16,,,1,14,0.0032343,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,2,73002,10,12,optimal,-146.0,-146.0,0.0,,,1,12,0.002217,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,4,71004,10,12,optimal,-336.0,-336.0,0.0,,,1,8,0.0006901,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,4,72004,10,12,optimal,-124.00000000000003,-124.0,2.2920733411616134e-16,,,1,13,0.0012778,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,4,73004,10,12,optimal,-251.99999999999991,-252.0,3.383536836952858e-16,,,1,18,0.0009467,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,6,71006,10,12,optimal,-27.999999999999993,-28.0,2.5376526277146434e-16,,,1,14,0.000566,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,6,72006,10,12,optimal,-262.99999999999994,-263.0,2.161346724745552e-16,,,1,14,0.0410472,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,6,73006,10,12,optimal,58.00000000000004,58.0,7.350442094070002e-16,,,1,13,0.1612322,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,8,71008,10,12,optimal,-90.00000000000007,-90.0,7.894919286223335e-16,,,1,11,0.055662,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
