family,parameter,value,seed,rows,columns,status,objective,expected_objective,relative_error,primal_infeasibility,dual_infeasibility,verified,iterations,solver_seconds,message,git_commit,machine,timestamp_utc,solver_options
conditioning,entry spread 10^k,0,71000,10,12,optimal,8.000000000000004,8.0,4.440892098500626e-16,,,1,9,0.000291,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,0,72000,10,12,optimal,325.0,325.0,0.0,,,1,16,0.0002894,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,0,73000,10,12,optimal,-144.0,-144.0,0.0,,,1,15,0.0006907,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,2,71002,10,12,optimal,-40.99999999999996,-41.0,1.0398186376977075e-15,,,1,9,0.000261,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,2,72002,10,12,optimal,82.99999999999993,83.0,8.5607558525313275e-16,,,1,14,0.0006,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,2,73002,10,12,optimal,-146.0,-146.0,0.0,,,1,12,0.0009228,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,4,71004,10,12,optimal,-336.0000000000002,-336.0,6.767073673905716e-16,,,1,8,0.0006962,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,4,72004,10,12,optimal,-124.00000000000001,-124.0,1.1460366705808067e-16,,,1,13,0.0005159,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,4,73004,10,12,optimal,-251.99999999999955,-252.0,1.804552979708191e-15,,,1,18,0.0002819,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,6,71006,10,12,optimal,-27.99999999999996,-28.0,1.395708945243054e-15,,,1,14,0.0002956,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,6,72006,10,12,optimal,-262.9999999999997,-263.0,1.080673362372776e-15,,,1,14,0.0003377,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,6,73006,10,12,optimal,58.000000000000014,58.0,2.4501473646900006e-16,,,1,13,0.0005221,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,8,71008,10,12,optimal,-90.000000000003,-90.0,3.331655938786248e-14,,,1,11,0.0003415,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,8,72008,10,12,optimal,205.00000000000003,205.0,1.38642485026361e-16,,,1,12,0.0004771,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,8,73008,10,12,optimal,-126.99999999999997,-127.0,2.2379298764097643e-16,,,1,17,0.0004893,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,10,71010,10,12,optimal,-582.0000000000001,-582.0,1.9533820914367015e-16,,,1,14,0.0002603,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
