instance,instance_sha256,rows,columns,nonzeros,analytic_optimum,engine,status,our_objective,absolute_error,relative_error,reached_optimum,iterations,wall_seconds,solver_seconds,time_limit,git_commit,machine,timestamp_utc,solver_options
scale-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,dual-simplex,optimal,-361.99999999998636,1.3642420526593924e-11,3.7686244548602e-14,1,3656,0.671909,0.6500687,120.0,351a558,Windows-AMD64,2026-09-10T16:27:17+00:00,
scale-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,pdhg,optimal,-361.99999999978456,2.1543655748246238e-10,5.951286118300065e-13,1,71200,1.266894,1.2467816,120.0,351a558,Windows-AMD64,2026-09-10T16:27:17+00:00,
scale-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,ipm,optimal,-361.99999942694,5.73059992348135e-07,1.5830386528954005e-09,1,19,0.466402,0.4480403,120.0,351a558,Windows-AMD64,2026-09-10T16:27:17+00:00,
scale-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,dual-simplex,time_limit,26780.37247587334,16835.37247587334,1.6928479110983752,0,17100,120.048146,120.0148635,120.0,351a558,Windows-AMD64,2026-09-10T16:27:17+00:00,
scale-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,pdhg,optimal,9944.999999892922,1.0707844921853393e-07,1.0767063772602709e-11,1,410840,62.441213,62.4049331,120.0,351a558,Windows-AMD64,2026-09-10T16:27:17+00:00,
scale-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,ipm,numerical_error,960.0,8985.0,0.9034690799396682,0,30,120.058771,120.0215283,120.0,351a558,Windows-AMD64,2026-09-10T16:27:17+00:00,
scale-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,dual-simplex,time_limit,-219835.3683149561,193243.3683149561,7.266973838558819,0,10645,120.801728,120.678707,120.0,351a558,Windows-AMD64,2026-09-10T16:27:17+00:00,
scale-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,pdhg,time_limit,-26592.000053632866,5.363286618376151e-05,2.0168797451775537e-09,1,119360,120.196969,120.0468518,120.0,351a558,Windows-AMD64,2026-09-10T16:27:17+00:00,
scale-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,ipm,time_limit,27091.644047619062,53683.64404761906,2.018789261718527,0,0,124.803950,124.3088769,120.0,351a558,Windows-AMD64,2026-09-10T16:27:17+00:00,
scale-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,dual-simplex,time_limit,-6182077.833046734,6098967.833046734,73.38428387735212,0,1450,123.295229,121.0282489,120.0,351a558,Windows-AMD64,2026-09-10T16:27:17+00:00,
scale-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,pdhg,time_limit,-83110.00454702238,0.004547022384940647,5.4710893814711184e-08,1,23816,121.891924,120.3696543,120.0,351a558,Windows-AMD64,2026-09-10T16:27:17+00:00,
scale-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,ipm,time_limit,166557.9182539681,249667.9182539681,3.004065915701698,0,0,150.051260,149.283702,120.0,351a558,Windows-AMD64,2026-09-10T16:27:17+00:00,
