instance,instance_sha256,rows,columns,nonzeros,analytic_optimum,engine,status,our_objective,absolute_error,relative_error,reached_optimum,iterations,wall_seconds,solver_seconds,time_limit,iteration_limit,structure,git_commit,machine,timestamp_utc,solver_options,algorithm_used,polish_iterations
scale-random-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,dual-simplex,optimal,-362.0000000000125,1.2505552149377763e-11,3.454572416955183e-14,1,6757,1.225518,1.185869,120.0,,random,41eddbf,Windows-AMD64,2026-09-16T12:54:16+00:00,,simplex-dual+primal,0
scale-random-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,pdhg,optimal,-361.99999999978456,2.1543655748246238e-10,5.951286118300065e-13,1,71200,2.520942,2.4913668,120.0,,random,41eddbf,Windows-AMD64,2026-09-16T12:54:16+00:00,,pdhg-cpu,0
scale-random-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,ipm,optimal,-361.99999942650356,5.734964361181483e-07,1.584244298668918e-09,1,19,0.595703,0.5667835,120.0,,random,41eddbf,Windows-AMD64,2026-09-16T12:54:16+00:00,,ipm,0
scale-random-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,dual-simplex,time_limit,24637.52715739184,14692.52715739184,1.4773782963692146,0,24316,120.116070,120.0369875,120.0,,random,41eddbf,Windows-AMD64,2026-09-16T12:54:16+00:00,,simplex-dual+primal,0
scale-random-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,pdhg,time_limit,9944.9999982239,1.7760994523996487e-06,1.7859220235290585e-10,1,356680,114.457331,114.0295484,120.0,,random,41eddbf,Windows-AMD64,2026-09-16T12:54:16+00:00,,pdhg-cpu,7
scale-random-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,ipm,time_limit,9945.00002729891,2.729890911723487e-05,2.7449883476354822e-09,1,24,120.054048,120.0112113,120.0,,random,41eddbf,Windows-AMD64,2026-09-16T12:54:16+00:00,,ipm,0
scale-random-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,dual-simplex,time_limit,-127847.10173329983,101255.10173329983,3.807727953267894,0,28564,120.187514,120.0795347,120.0,,random,41eddbf,Windows-AMD64,2026-09-16T12:54:16+00:00,,simplex-dual,0
scale-random-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,pdhg,time_limit,-26591.99944350545,0.0005564945495279972,2.0927141603790507e-08,1,87227,87.500127,87.3244542,120.0,,random,41eddbf,Windows-AMD64,2026-09-16T12:54:16+00:00,,pdhg-cpu,0
scale-random-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,ipm,time_limit,27091.644047619062,53683.64404761906,2.018789261718527,0,0,120.462211,120.1296509,120.0,,random,41eddbf,Windows-AMD64,2026-09-16T12:54:16+00:00,,ipm,0
scale-random-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,dual-simplex,time_limit,-2694428.901510794,2611318.901510794,31.420032505243583,0,13745,121.018871,120.3330282,120.0,,random,41eddbf,Windows-AMD64,2026-09-16T12:54:16+00:00,,simplex-dual,0
scale-random-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,pdhg,time_limit,-83109.99102479263,0.008975207369076088,1.0799190673897351e-07,1,19032,114.949812,114.2136517,120.0,,random,41eddbf,Windows-AMD64,2026-09-16T12:54:16+00:00,,pdhg-cpu,0
scale-random-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,ipm,no_output,,,,0,,221.261231,,120.0,,random,41eddbf,Windows-AMD64,2026-09-16T12:54:16+00:00,,,
