instance,instance_sha256,rows,columns,nonzeros,analytic_optimum,engine,status,our_objective,absolute_error,relative_error,reached_optimum,iterations,wall_seconds,solver_seconds,time_limit,iteration_limit,structure,git_commit,machine,timestamp_utc,solver_options,algorithm_used,polish_iterations
scale-random-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,dual-simplex,optimal,-362.0000000000034,3.410605131648481e-12,9.4215611371505e-15,1,4271,0.423085,0.4026195,120.0,,random,e134aeb,Windows-AMD64,2026-09-16T20:22:33+00:00,,simplex-dual+primal,0
scale-random-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,pdhg,optimal,-361.99999999978456,2.1543655748246238e-10,5.951286118300065e-13,1,71200,1.242276,1.225148,120.0,,random,e134aeb,Windows-AMD64,2026-09-16T20:22:33+00:00,,pdhg-cpu,0
scale-random-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,ipm,optimal,-361.99999942650356,5.734964361181483e-07,1.584244298668918e-09,1,19,0.356337,0.3390233,120.0,,random,e134aeb,Windows-AMD64,2026-09-16T20:22:33+00:00,,ipm,0
scale-random-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,dual-simplex,time_limit,27163.63491021063,17218.63491021063,1.731386114651647,0,33019,120.045552,120.0138572,120.0,,random,e134aeb,Windows-AMD64,2026-09-16T20:22:33+00:00,,simplex-dual+primal,0
scale-random-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,pdhg,optimal,9944.999999892922,1.0707844921853393e-07,1.0767063772602709e-11,1,410840,53.671353,53.6371904,120.0,,random,e134aeb,Windows-AMD64,2026-09-16T20:22:33+00:00,,pdhg-cpu,0
scale-random-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,ipm,feasible,9945.00002729891,2.729890911723487e-05,2.7449883476354822e-09,1,24,70.883431,70.8495233,120.0,,random,e134aeb,Windows-AMD64,2026-09-16T20:22:33+00:00,,ipm,0
scale-random-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,dual-simplex,time_limit,-115703.46364407218,89111.46364407218,3.3510628626681775,0,34163,120.167939,120.0534823,120.0,,random,e134aeb,Windows-AMD64,2026-09-16T20:22:33+00:00,,simplex-dual,0
scale-random-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,pdhg,time_limit,-26592.000053632866,5.363286618376151e-05,2.0168797451775537e-09,1,122309,86.241554,86.1392477,120.0,,random,e134aeb,Windows-AMD64,2026-09-16T20:22:33+00:00,,pdhg-cpu,0
scale-random-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,ipm,time_limit,27091.644047619062,53683.64404761906,2.018789261718527,0,0,120.192895,120.0777132,120.0,,random,e134aeb,Windows-AMD64,2026-09-16T20:22:33+00:00,,ipm,0
scale-random-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,dual-simplex,time_limit,-2148996.4098675903,2065886.4098675903,24.857254360096142,0,19497,120.981465,120.2865791,120.0,,random,e134aeb,Windows-AMD64,2026-09-16T20:22:33+00:00,,simplex-dual,0
scale-random-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,pdhg,time_limit,-83109.99102479263,0.008975207369076088,1.0799190673897351e-07,1,20400,114.868731,114.2001216,120.0,,random,e134aeb,Windows-AMD64,2026-09-16T20:22:33+00:00,,pdhg-cpu,0
scale-random-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,ipm,no_output,,,,0,,202.636918,,120.0,,random,e134aeb,Windows-AMD64,2026-09-16T20:22:33+00:00,,,
