instance,instance_sha256,rows,columns,nonzeros,analytic_optimum,engine,status,our_objective,absolute_error,relative_error,reached_optimum,iterations,wall_seconds,solver_seconds,time_limit,git_commit,machine,timestamp_utc,solver_options
scale-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,dual-simplex,optimal,-361.99999999998636,1.3642420526593924e-11,3.7686244548602e-14,1,3656,0.680075,0.6550696,120.0,eac6f75,Windows-AMD64,2026-09-10T11:58:38+00:00,
scale-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,pdhg,optimal,-361.99999999978456,2.1543655748246238e-10,5.951286118300065e-13,1,71200,1.265406,1.2461872,120.0,eac6f75,Windows-AMD64,2026-09-10T11:58:38+00:00,
scale-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,ipm,optimal,-361.99999942694,5.73059992348135e-07,1.5830386528954005e-09,1,19,0.450398,0.4303051,120.0,eac6f75,Windows-AMD64,2026-09-10T11:58:38+00:00,
scale-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,dual-simplex,time_limit,27347.205547771595,17402.205547771595,1.749844700630628,0,19762,120.180269,120.146749,120.0,eac6f75,Windows-AMD64,2026-09-10T11:58:38+00:00,
scale-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,pdhg,optimal,9944.999999892922,1.0707844921853393e-07,1.0767063772602709e-11,1,410840,54.449893,54.4106511,120.0,eac6f75,Windows-AMD64,2026-09-10T11:58:38+00:00,
scale-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,ipm,time_limit,nan,,,0,37,120.921614,120.8867056,120.0,eac6f75,Windows-AMD64,2026-09-10T11:58:38+00:00,
scale-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,dual-simplex,time_limit,-214452.26028285266,187860.26028285266,7.06454047393399,0,11304,120.498839,120.3630636,120.0,eac6f75,Windows-AMD64,2026-09-10T11:58:38+00:00,
scale-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,pdhg,time_limit,-26592.000007157876,7.157876098062843e-06,2.691740409921346e-10,1,161481,120.146664,120.0275685,120.0,eac6f75,Windows-AMD64,2026-09-10T11:58:38+00:00,
scale-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,ipm,overran_its_limit,,,,0,,360.088838,,120.0,eac6f75,Windows-AMD64,2026-09-10T11:58:38+00:00,
scale-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,dual-simplex,time_limit,-5790795.05441166,5707685.05441166,68.67627306475346,0,2218,120.986876,120.3201594,120.0,eac6f75,Windows-AMD64,2026-09-10T11:58:38+00:00,
scale-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,pdhg,time_limit,-83110.00862255003,0.008622550027212128,1.0374864669970074e-07,1,26160,120.880145,120.1906166,120.0,eac6f75,Windows-AMD64,2026-09-10T11:58:38+00:00,
scale-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,ipm,overran_its_limit,,,,0,,360.241938,,120.0,eac6f75,Windows-AMD64,2026-09-10T11:58:38+00:00,
