instance,instance_sha256,rows,columns,nonzeros,analytic_optimum,engine,status,our_objective,absolute_error,relative_error,reached_optimum,iterations,wall_seconds,solver_seconds,time_limit,iteration_limit,structure,git_commit,machine,timestamp_utc,solver_options,algorithm_used,polish_iterations
scale-random-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,dual-simplex,optimal,-361.99999999998636,1.3642420526593924e-11,3.7686244548602e-14,1,3656,1.065036,1.035358,120.0,,random,f7ca7e9,Windows-AMD64,2026-09-13T06:53:08+00:00,,simplex-dual+primal,0
scale-random-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,pdhg,optimal,-361.99999999978456,2.1543655748246238e-10,5.951286118300065e-13,1,71200,2.758186,2.7164321,120.0,,random,f7ca7e9,Windows-AMD64,2026-09-13T06:53:08+00:00,,pdhg-cpu,0
scale-random-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,ipm,optimal,-361.99999942650356,5.734964361181483e-07,1.584244298668918e-09,1,19,0.734283,0.6995602,120.0,,random,f7ca7e9,Windows-AMD64,2026-09-13T06:53:08+00:00,,ipm,0
scale-random-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,dual-simplex,time_limit,1819.7897853758782,8125.210214624121,0.817014601772159,0,18338,120.454183,120.3745158,120.0,,random,f7ca7e9,Windows-AMD64,2026-09-13T06:53:08+00:00,,simplex-dual,0
scale-random-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,pdhg,time_limit,9944.9999982239,1.7760994523996487e-06,1.7859220235290585e-10,1,291612,114.216713,114.1067839,120.0,,random,f7ca7e9,Windows-AMD64,2026-09-13T06:53:08+00:00,,pdhg-cpu,6
scale-random-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,ipm,time_limit,9945.001601545806,0.0016015458058973309,1.6104030225211976e-07,1,23,120.119908,120.0225169,120.0,,random,f7ca7e9,Windows-AMD64,2026-09-13T06:53:08+00:00,,ipm,0
scale-random-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,dual-simplex,time_limit,-252644.3002193254,226052.3002193254,8.500763395732754,0,8415,120.343361,120.1124404,120.0,,random,f7ca7e9,Windows-AMD64,2026-09-13T06:53:08+00:00,,simplex-dual,0
scale-random-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,pdhg,time_limit,-26591.999722482695,0.0002775173052214086,1.0436120082032514e-08,1,63098,87.912997,87.7029037,120.0,,random,f7ca7e9,Windows-AMD64,2026-09-13T06:53:08+00:00,,pdhg-cpu,0
scale-random-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,ipm,time_limit,27091.644047619062,53683.64404761906,2.018789261718527,0,0,120.429525,120.1529152,120.0,,random,f7ca7e9,Windows-AMD64,2026-09-13T06:53:08+00:00,,ipm,0
scale-random-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,dual-simplex,time_limit,-6322592.512323633,6239482.512323633,75.07499112409617,0,1194,125.336640,124.2754793,120.0,,random,f7ca7e9,Windows-AMD64,2026-09-13T06:53:08+00:00,,simplex-dual,0
scale-random-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,pdhg,time_limit,-83109.99246222046,0.007537779543781653,9.069642093348156e-08,1,11371,115.480200,114.4848532,120.0,,random,f7ca7e9,Windows-AMD64,2026-09-13T06:53:08+00:00,,pdhg-cpu,0
scale-random-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,ipm,time_limit,166557.9182539681,249667.9182539681,3.004065915701698,0,0,122.710969,120.69807,120.0,,random,f7ca7e9,Windows-AMD64,2026-09-13T06:53:08+00:00,,ipm,0
