instance,instance_sha256,rows,columns,nonzeros,analytic_optimum,engine,status,our_objective,absolute_error,relative_error,reached_optimum,iterations,wall_seconds,solver_seconds,time_limit,iteration_limit,structure,git_commit,machine,timestamp_utc,solver_options,algorithm_used,polish_iterations
scale-random-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,pdhg-raw,iteration_limit,-361.7805711180628,0.21942888193717636,0.0006061571324231391,0,1000,0.066699,0.0352838,900.0,1000,random,f7ca7e9,Windows-AMD64,2026-09-13T07:24:31+00:00,,pdhg-cpu,0
scale-random-1000.mps,4a4e5797f59875422ebd3f22108941558227e7b490c8f837d6421dbf70be317a,1000,1000,5000,-362.0,pdhg,optimal,-361.99999993070503,6.929496976226801e-08,1.9142256840405527e-10,1,1007,0.298987,0.2707598,900.0,1000,random,f7ca7e9,Windows-AMD64,2026-09-13T07:24:31+00:00,,pdhg-cpu+ipm,7
scale-random-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,pdhg-raw,iteration_limit,9944.617973202985,0.3820267970149871,3.8413956462039927e-05,0,1000,0.254201,0.204405,900.0,1000,random,f7ca7e9,Windows-AMD64,2026-09-13T07:24:31+00:00,,pdhg-cpu,0
scale-random-5000.mps,dc9319f697c8b7eb5cc3759dbe6942076b556b3ee77a9d23c56c29fc0deb6977,5000,5000,25000,9945.0,pdhg,iteration_limit,9944.617973202985,0.3820267970149871,3.8413956462039927e-05,0,1000,30.253763,30.2127604,900.0,1000,random,f7ca7e9,Windows-AMD64,2026-09-13T07:24:31+00:00,,pdhg-cpu,7
scale-random-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,pdhg-raw,iteration_limit,-26591.571534645802,0.42846535419812426,1.6112565967137645e-05,0,1000,1.303830,1.1449769,900.0,1000,random,f7ca7e9,Windows-AMD64,2026-09-13T07:24:31+00:00,,pdhg-cpu,0
scale-random-20000.mps,d7ac56915d1de0014046b7807173f1d9257ad508f62790afab3c316424cf1c81,20000,20000,100000,-26592.0,pdhg,iteration_limit,-26591.571534645802,0.42846535419812426,1.6112565967137645e-05,0,1000,4.931398,4.7491152,900.0,1000,random,f7ca7e9,Windows-AMD64,2026-09-13T07:24:31+00:00,,pdhg-cpu,0
scale-random-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,pdhg-raw,iteration_limit,-83110.5693453935,0.5693453934945865,6.8505040728502765e-06,0,1000,7.569099,6.403487,900.0,1000,random,f7ca7e9,Windows-AMD64,2026-09-13T07:24:31+00:00,,pdhg-cpu,0
scale-random-100000.mps,c86368f33341e9a6efe2662283468bda8bcafd083a700375156e77cc0488b331,100000,100000,500000,-83110.0,pdhg,iteration_limit,-83110.5693453935,0.5693453934945865,6.8505040728502765e-06,0,1000,37.715542,36.7558117,900.0,1000,random,f7ca7e9,Windows-AMD64,2026-09-13T07:24:31+00:00,,pdhg-cpu,0
scale-random-500000.mps,9d22f6a3baed861dc03e5f1933402530b3fd7e7ce5687bdfabad112f7aa39bf8,500000,500000,2500000,87565.0,pdhg-raw,iteration_limit,87564.13601496619,0.863985033807694,9.86678506032883e-06,0,1000,50.367122,44.7811801,900.0,1000,random,f7ca7e9,Windows-AMD64,2026-09-13T07:24:31+00:00,,pdhg-cpu,0
scale-random-500000.mps,9d22f6a3baed861dc03e5f1933402530b3fd7e7ce5687bdfabad112f7aa39bf8,500000,500000,2500000,87565.0,pdhg,iteration_limit,87564.13601496619,0.863985033807694,9.86678506032883e-06,0,1000,79.966402,74.3170791,900.0,1000,random,f7ca7e9,Windows-AMD64,2026-09-13T07:24:31+00:00,,pdhg-cpu,0
scale-random-1000000.mps,b04f5b332f566279573a1f2fc41bc5a1cacc16111860e05f169f9abf9fc79a9a,1000000,1000000,5000000,208845.0,pdhg-raw,iteration_limit,208841.72199039586,3.278009604138788,1.5695896976890937e-05,0,1000,122.244563,110.3214206,900.0,1000,random,f7ca7e9,Windows-AMD64,2026-09-13T07:24:31+00:00,,pdhg-cpu,0
scale-random-1000000.mps,b04f5b332f566279573a1f2fc41bc5a1cacc16111860e05f169f9abf9fc79a9a,1000000,1000000,5000000,208845.0,pdhg,iteration_limit,208841.72199039586,3.278009604138788,1.5695896976890937e-05,0,1000,151.675634,139.7571754,900.0,1000,random,f7ca7e9,Windows-AMD64,2026-09-13T07:24:31+00:00,,pdhg-cpu,0
