instance,instance_sha256,rows,columns,nonzeros,analytic_optimum,engine,status,our_objective,absolute_error,relative_error,reached_optimum,iterations,wall_seconds,solver_seconds,time_limit,iteration_limit,structure,git_commit,machine,timestamp_utc,solver_options,algorithm_used,polish_iterations
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,dual-simplex,optimal,-5821.000000000008,8.185452315956354e-12,1.406193491832392e-15,1,5668,1.037687,0.9664462,120.0,,staircase,54fcb6f,Windows-AMD64,2026-09-16T11:39:33+00:00,,simplex-dual+primal,0
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,pdhg,optimal,-5821.000000238639,2.3863867681939155e-07,4.0996165060881556e-11,1,76560,2.848927,2.7714393,120.0,,staircase,54fcb6f,Windows-AMD64,2026-09-16T11:39:33+00:00,,pdhg-cpu,0
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,ipm,optimal,-5820.999999268113,7.318867574213073e-07,1.2573213492893098e-10,1,18,0.805849,0.685565,120.0,,staircase,54fcb6f,Windows-AMD64,2026-09-16T11:39:33+00:00,,ipm,0
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,dual-simplex,time_limit,-14410.963815965108,402.96381596510764,0.028766691602306372,0,29662,120.227113,120.0301451,120.0,,staircase,54fcb6f,Windows-AMD64,2026-09-16T11:39:33+00:00,,simplex-dual,0
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,pdhg,optimal,-14007.999999890435,1.0956500773318112e-07,7.821602493802194e-12,1,155280,78.168065,78.0246668,120.0,,staircase,54fcb6f,Windows-AMD64,2026-09-16T11:39:33+00:00,,pdhg-cpu,0
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,ipm,optimal,-14007.999998441304,1.5586956578772515e-06,1.1127182023681121e-10,1,24,7.755871,7.646021,120.0,,staircase,54fcb6f,Windows-AMD64,2026-09-16T11:39:33+00:00,,ipm,0
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,dual-simplex,time_limit,-92544.80188327574,100003.80188327574,13.407132575851419,0,16023,120.408618,120.1261057,120.0,,staircase,54fcb6f,Windows-AMD64,2026-09-16T11:39:33+00:00,,simplex-dual,0
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,pdhg,time_limit,7458.9957068657095,0.004293134290492162,5.755643237018584e-07,1,35766,114.459357,114.0931298,120.0,,staircase,54fcb6f,Windows-AMD64,2026-09-16T11:39:33+00:00,,pdhg-cpu,10
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,ipm,feasible,7459.000101171375,0.00010117137480847305,1.3563664674684682e-08,1,26,69.013591,68.7621697,120.0,,staircase,54fcb6f,Windows-AMD64,2026-09-16T11:39:33+00:00,,ipm,0
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,dual-simplex,time_limit,-4806770.251065313,4905184.251065313,49.84234205565583,0,4308,122.253501,120.5236274,120.0,,staircase,54fcb6f,Windows-AMD64,2026-09-16T11:39:33+00:00,,simplex-dual,0
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,pdhg,time_limit,98413.93557890342,0.06442109658382833,6.545928077695077e-07,1,6244,115.933006,114.384061,120.0,,staircase,54fcb6f,Windows-AMD64,2026-09-16T11:39:33+00:00,,pdhg-cpu,1
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,ipm,time_limit,220026.3888448168,121612.3888448168,1.2357224464488468,0,8,121.917514,120.4746095,120.0,,staircase,54fcb6f,Windows-AMD64,2026-09-16T11:39:33+00:00,,ipm,0
