instance,instance_sha256,rows,columns,nonzeros,analytic_optimum,engine,status,our_objective,absolute_error,relative_error,reached_optimum,iterations,wall_seconds,solver_seconds,time_limit,iteration_limit,structure,git_commit,machine,timestamp_utc,solver_options
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,dual-simplex,optimal,-5821.0,0.0,0.0,1,5149,2.808982,2.749815,120.0,,staircase,6503800,Windows-AMD64,2026-09-12T05:54:47+00:00,
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,pdhg,optimal,-5821.000000238639,2.3863867681939155e-07,4.0996165060881556e-11,1,76560,4.028161,3.9906871,120.0,,staircase,6503800,Windows-AMD64,2026-09-12T05:54:47+00:00,
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,ipm,feasible,-5820.999999268121,7.318785719689913e-07,1.2573072873543914e-10,1,18,0.703129,0.6583569,120.0,,staircase,6503800,Windows-AMD64,2026-09-12T05:54:47+00:00,
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,dual-simplex,time_limit,-16519.993744860018,2511.9937448600176,0.17932565283124055,0,12439,121.053681,120.9249956,120.0,,staircase,6503800,Windows-AMD64,2026-09-12T05:54:47+00:00,
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,pdhg,optimal,-14007.999999890435,1.0956500773318112e-07,7.821602493802194e-12,1,155280,79.343140,79.2049944,120.0,,staircase,6503800,Windows-AMD64,2026-09-12T05:54:47+00:00,
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,ipm,optimal,-14007.999998447816,1.5521836758125573e-06,1.1080694430415172e-10,1,24,15.919240,15.7401153,120.0,,staircase,6503800,Windows-AMD64,2026-09-12T05:54:47+00:00,
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,dual-simplex,time_limit,-325395.3801073147,332854.3801073147,44.62453145291791,0,4469,120.817504,120.3986627,120.0,,staircase,6503800,Windows-AMD64,2026-09-12T05:54:47+00:00,
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,pdhg,time_limit,7458.998819635182,0.0011803648176282877,1.5824705960963773e-07,1,36895,120.947927,120.1240787,120.0,,staircase,6503800,Windows-AMD64,2026-09-12T05:54:47+00:00,
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,ipm,feasible,7459.0003055936095,0.0003055936094824574,4.0969782743324495e-08,1,27,44.296642,43.9488403,120.0,,staircase,6503800,Windows-AMD64,2026-09-12T05:54:47+00:00,
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,dual-simplex,time_limit,-6687847.232374341,6786261.232374341,68.95625858489993,0,426,130.871464,128.0541871,120.0,,staircase,6503800,Windows-AMD64,2026-09-12T05:54:47+00:00,
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,pdhg,time_limit,98413.94893981387,0.05106018613150809,5.188305132553101e-07,1,7492,122.321312,120.423576,120.0,,staircase,6503800,Windows-AMD64,2026-09-12T05:54:47+00:00,
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,ipm,time_limit,274164.9593253965,175750.9593253965,1.785832903097085,0,0,125.637631,123.1286265,120.0,,staircase,6503800,Windows-AMD64,2026-09-12T05:54:47+00:00,
