instance,instance_sha256,rows,columns,nonzeros,analytic_optimum,engine,status,our_objective,absolute_error,relative_error,reached_optimum,iterations,wall_seconds,solver_seconds,time_limit,iteration_limit,structure,git_commit,machine,timestamp_utc,solver_options,algorithm_used,polish_iterations
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,dual-simplex,optimal,-5821.0,0.0,0.0,1,5149,1.351228,1.3043189,120.0,,staircase,79ec7f7,Windows-AMD64,2026-09-12T16:59:33+00:00,,simplex-dual+primal,0
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,pdhg,optimal,-5821.000000238639,2.3863867681939155e-07,4.0996165060881556e-11,1,76560,2.311644,2.2864946,120.0,,staircase,79ec7f7,Windows-AMD64,2026-09-12T16:59:33+00:00,,pdhg-cpu,0
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,ipm,optimal,-5820.999999268121,7.318785719689913e-07,1.2573072873543914e-10,1,18,0.449607,0.41302,120.0,,staircase,79ec7f7,Windows-AMD64,2026-09-12T16:59:33+00:00,,ipm,0
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,dual-simplex,time_limit,-16459.54388579901,2451.5438857990084,0.1750102716875363,0,12662,120.261652,120.1702622,120.0,,staircase,79ec7f7,Windows-AMD64,2026-09-12T16:59:33+00:00,,simplex-dual,0
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,pdhg,optimal,-14007.999997858828,2.1411724446807057e-06,1.5285354402346556e-10,1,83944,90.620187,90.2992624,120.0,,staircase,79ec7f7,Windows-AMD64,2026-09-12T16:59:33+00:00,,pdhg-cpu+ipm,12
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,ipm,optimal,-14007.999998447816,1.5521836758125573e-06,1.1080694430415172e-10,1,24,11.012564,10.7436905,120.0,,staircase,79ec7f7,Windows-AMD64,2026-09-12T16:59:33+00:00,,ipm,0
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,dual-simplex,time_limit,-216739.1004586675,224198.1004586675,30.057393814005565,0,7430,120.691054,120.2936336,120.0,,staircase,79ec7f7,Windows-AMD64,2026-09-12T16:59:33+00:00,,simplex-dual,0
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,pdhg,time_limit,7458.9984601771275,0.0015398228724734508,2.0643824540467232e-07,1,60545,114.485375,114.1571576,120.0,,staircase,79ec7f7,Windows-AMD64,2026-09-12T16:59:33+00:00,,pdhg-cpu,11
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,ipm,feasible,7459.0003055936095,0.0003055936094824574,4.0969782743324495e-08,1,27,42.121131,41.647727,120.0,,staircase,79ec7f7,Windows-AMD64,2026-09-12T16:59:33+00:00,,ipm,0
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,dual-simplex,time_limit,-6014008.262040442,6112422.262040442,62.10927573353834,0,1450,123.291975,122.4380772,120.0,,staircase,79ec7f7,Windows-AMD64,2026-09-12T16:59:33+00:00,,simplex-dual,0
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,pdhg,time_limit,98413.91379182447,0.0862081755331019,8.75974714299814e-07,1,15430,115.125725,114.4036316,120.0,,staircase,79ec7f7,Windows-AMD64,2026-09-12T16:59:33+00:00,,pdhg-cpu,0
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,ipm,time_limit,123257.37679144641,24843.37679144641,0.25243742548261844,0,12,121.145734,120.3587943,120.0,,staircase,79ec7f7,Windows-AMD64,2026-09-12T16:59:33+00:00,,ipm,0
