instance,instance_sha256,rows,columns,nonzeros,analytic_optimum,engine,status,our_objective,absolute_error,relative_error,reached_optimum,iterations,wall_seconds,solver_seconds,time_limit,iteration_limit,structure,git_commit,machine,timestamp_utc,solver_options
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,dual-simplex,optimal,-5821.0,0.0,0.0,1,5149,1.336379,1.3084574,120.0,,staircase,bb4eefa,Windows-AMD64,2026-09-11T14:11:22+00:00,
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,pdhg,optimal,-5821.000000238639,2.3863867681939155e-07,4.0996165060881556e-11,1,76560,1.954548,1.9311195,120.0,,staircase,bb4eefa,Windows-AMD64,2026-09-11T14:11:22+00:00,
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,ipm,feasible,-5820.999999268121,7.318785719689913e-07,1.2573072873543914e-10,1,18,0.391241,0.3660917,120.0,,staircase,bb4eefa,Windows-AMD64,2026-09-11T14:11:22+00:00,
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,dual-simplex,time_limit,-3537.344803498024,10470.655196501975,0.7474768129998555,0,13928,120.075306,120.0238542,120.0,,staircase,bb4eefa,Windows-AMD64,2026-09-11T14:11:22+00:00,
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,pdhg,optimal,-14007.999999890435,1.0956500773318112e-07,7.821602493802194e-12,1,155280,23.930231,23.8960874,120.0,,staircase,bb4eefa,Windows-AMD64,2026-09-11T14:11:22+00:00,
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,ipm,optimal,-14007.999998447816,1.5521836758125573e-06,1.1080694430415172e-10,1,24,3.236194,3.1944784,120.0,,staircase,bb4eefa,Windows-AMD64,2026-09-11T14:11:22+00:00,
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,dual-simplex,time_limit,-217490.79340727258,224949.79340727258,30.158170452778197,0,9020,120.484294,120.3821168,120.0,,staircase,bb4eefa,Windows-AMD64,2026-09-11T14:11:22+00:00,
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,pdhg,time_limit,7458.999814460964,0.00018553903555584839,2.4874518776759403e-08,1,109766,120.181002,120.0300581,120.0,,staircase,bb4eefa,Windows-AMD64,2026-09-11T14:11:22+00:00,
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,ipm,numerical_error,3705.0,,,0,123,120.167889,120.0644495,120.0,,staircase,bb4eefa,Windows-AMD64,2026-09-11T14:11:22+00:00,
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,dual-simplex,time_limit,-6139202.871726199,6237616.871726199,63.381397684538776,0,1321,121.979872,121.3288929,120.0,,staircase,bb4eefa,Windows-AMD64,2026-09-11T14:11:22+00:00,
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,pdhg,time_limit,98413.9110696895,0.0889303105068393,9.03634752238902e-07,1,12093,120.844736,120.1936668,120.0,,staircase,bb4eefa,Windows-AMD64,2026-09-11T14:11:22+00:00,
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,ipm,time_limit,391621.46172725176,293207.46172725176,2.9793267393587475,0,3,121.046915,120.3851629,120.0,,staircase,bb4eefa,Windows-AMD64,2026-09-11T14:11:22+00:00,
