instance,instance_sha256,rows,columns,nonzeros,analytic_optimum,engine,status,our_objective,absolute_error,relative_error,reached_optimum,iterations,wall_seconds,solver_seconds,time_limit,iteration_limit,structure,git_commit,machine,timestamp_utc,solver_options,algorithm_used,polish_iterations
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,dual-simplex,optimal,-5821.0,0.0,0.0,1,5338,0.532519,0.498612,120.0,,staircase,e134aeb,Windows-AMD64,2026-09-16T20:39:28+00:00,,simplex-dual+primal,0
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,pdhg,optimal,-5821.000000238639,2.3863867681939155e-07,4.0996165060881556e-11,1,76560,1.582681,1.5636237,120.0,,staircase,e134aeb,Windows-AMD64,2026-09-16T20:39:28+00:00,,pdhg-cpu,0
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,ipm,optimal,-5820.999999268113,7.318867574213073e-07,1.2573213492893098e-10,1,18,0.325888,0.300495,120.0,,staircase,e134aeb,Windows-AMD64,2026-09-16T20:39:28+00:00,,ipm,0
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,dual-simplex,time_limit,-2622.00120541761,11385.99879458239,0.8128211589507703,0,42448,120.052431,120.0148155,120.0,,staircase,e134aeb,Windows-AMD64,2026-09-16T20:39:28+00:00,,simplex-dual+primal,0
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,pdhg,optimal,-14007.999999890435,1.0956500773318112e-07,7.821602493802194e-12,1,155280,21.717908,21.6860345,120.0,,staircase,e134aeb,Windows-AMD64,2026-09-16T20:39:28+00:00,,pdhg-cpu,0
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,ipm,optimal,-14007.999998441304,1.5586956578772515e-06,1.1127182023681121e-10,1,24,2.601241,2.5659037,120.0,,staircase,e134aeb,Windows-AMD64,2026-09-16T20:39:28+00:00,,ipm,0
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,dual-simplex,time_limit,-255228.46842277577,262687.46842277574,35.21751822265394,0,40108,120.160585,120.0542485,120.0,,staircase,e134aeb,Windows-AMD64,2026-09-16T20:39:28+00:00,,simplex-dual,0
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,pdhg,feasible,7459.000382076199,0.00038207619854802033,5.122351502185552e-08,1,98578,99.619355,99.5153287,120.0,,staircase,e134aeb,Windows-AMD64,2026-09-16T20:39:28+00:00,,pdhg-cpu+ipm,19
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,ipm,feasible,7459.000101171375,0.00010117137480847305,1.3563664674684682e-08,1,26,19.066817,18.9547704,120.0,,staircase,e134aeb,Windows-AMD64,2026-09-16T20:39:28+00:00,,ipm,0
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,dual-simplex,time_limit,-2005644.1150144737,2104058.115014474,21.379662598964313,0,20655,121.081842,120.3127089,120.0,,staircase,e134aeb,Windows-AMD64,2026-09-16T20:39:28+00:00,,simplex-dual,0
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,pdhg,time_limit,98413.96970319742,0.030296802578959614,3.07850535279123e-07,1,21250,114.938745,114.3328751,120.0,,staircase,e134aeb,Windows-AMD64,2026-09-16T20:39:28+00:00,,pdhg-cpu,9
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,ipm,time_limit,98414.11934651683,0.1193465168325929,1.212698567608195e-06,0,36,120.835939,120.1601027,120.0,,staircase,e134aeb,Windows-AMD64,2026-09-16T20:39:28+00:00,,ipm,0
