instance,instance_sha256,rows,columns,nonzeros,analytic_optimum,engine,status,our_objective,absolute_error,relative_error,reached_optimum,iterations,wall_seconds,solver_seconds,time_limit,iteration_limit,structure,git_commit,machine,timestamp_utc,solver_options,algorithm_used,polish_iterations
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,dual-simplex,optimal,-5821.0,0.0,0.0,1,5149,7.977776,7.7942401,120.0,,staircase,f7ca7e9,Windows-AMD64,2026-09-13T07:10:46+00:00,,simplex-dual+primal,0
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,pdhg,optimal,-5821.000000238639,2.3863867681939155e-07,4.0996165060881556e-11,1,76560,22.180612,22.0024543,120.0,,staircase,f7ca7e9,Windows-AMD64,2026-09-13T07:10:46+00:00,,pdhg-cpu,0
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,ipm,optimal,-5820.999999268113,7.318867574213073e-07,1.2573213492893098e-10,1,18,0.841709,0.7903761,120.0,,staircase,f7ca7e9,Windows-AMD64,2026-09-13T07:10:46+00:00,,ipm,0
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,dual-simplex,time_limit,-15872.790999355126,1864.7909993551257,0.13312328664728196,0,13761,120.107421,120.0345955,120.0,,staircase,f7ca7e9,Windows-AMD64,2026-09-13T07:10:46+00:00,,simplex-dual,0
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,pdhg,optimal,-14007.999999890435,1.0956500773318112e-07,7.821602493802194e-12,1,155280,47.857072,47.7650778,120.0,,staircase,f7ca7e9,Windows-AMD64,2026-09-13T07:10:46+00:00,,pdhg-cpu,0
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,ipm,optimal,-14007.999998441304,1.5586956578772515e-06,1.1127182023681121e-10,1,24,6.448938,6.3862164,120.0,,staircase,f7ca7e9,Windows-AMD64,2026-09-13T07:10:46+00:00,,ipm,0
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,dual-simplex,time_limit,-150394.88439668398,157853.88439668398,21.162874969390533,0,10144,120.740733,120.4698869,120.0,,staircase,f7ca7e9,Windows-AMD64,2026-09-13T07:10:46+00:00,,simplex-dual,0
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,pdhg,feasible,7459.000138153444,0.00013815344391332474,1.8521711209723117e-08,1,73833,103.171782,102.803044,120.0,,staircase,f7ca7e9,Windows-AMD64,2026-09-13T07:10:46+00:00,,pdhg-cpu+ipm,19
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,ipm,feasible,7459.000101171375,0.00010117137480847305,1.3563664674684682e-08,1,27,25.911740,25.5214801,120.0,,staircase,f7ca7e9,Windows-AMD64,2026-09-13T07:10:46+00:00,,ipm,0
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,dual-simplex,time_limit,-6012310.933093074,6110724.933093074,62.09202890943437,0,1453,121.395455,120.4067037,120.0,,staircase,f7ca7e9,Windows-AMD64,2026-09-13T07:10:46+00:00,,simplex-dual,0
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,pdhg,time_limit,98413.93036734064,0.06963265936065,7.075483097999268e-07,1,13907,115.072181,114.2363429,120.0,,staircase,f7ca7e9,Windows-AMD64,2026-09-13T07:10:46+00:00,,pdhg-cpu,5
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,ipm,time_limit,98432.69588853848,18.695888538481086,0.00018997183874734373,0,24,121.071137,120.1911649,120.0,,staircase,f7ca7e9,Windows-AMD64,2026-09-13T07:10:46+00:00,,ipm,0
